# Spatial statistics process output
# Kratos version               : 9.2."2"-5dfe714-Release-x86_64
# Timestamp                    : 2023-02-16 13:19:57.431125
# Method name(s)               : variance, max, distribution
# Variable info(s)             : CFL_NUMBER[magnitude, element_non_historical]
# Modelpart name               : FluidModelPart.fluid_computational_model_part
# Output control variable name : STEP
# ----------------------------------------------------------------------
# Headers:
#"TIME" "STEP" "mean" "variance" "max_value" "max_id"                    "group_below_min {mean|variance}"                            "group_1 {mean|variance}"                    "group_above_max {mean|variance}"
   6.60    220   0.36       0.04        4.11  2.01e+06  2.91e+06 [#] =  99.23 [%] <   1.00 {   0.35 |   0.04 }  22593 [#] =   0.77 [%] <   2.50 {   1.17 |   0.03 }     23 [#] =   0.00 [%]>=   2.50 {   3.00 |   0.20 }
   6.90    230   0.37       0.05        4.09  2.01e+06  2.91e+06 [#] =  99.00 [%] <   1.00 {   0.37 |   0.04 }  29332 [#] =   1.00 [%] <   2.50 {   1.17 |   0.03 }     32 [#] =   0.00 [%]>=   2.50 {   2.89 |   0.16 }
   7.20    240   0.39       0.05        4.01  2.01e+06  2.90e+06 [#] =  98.72 [%] <   1.00 {   0.38 |   0.05 }  37662 [#] =   1.28 [%] <   2.50 {   1.17 |   0.03 }     34 [#] =   0.00 [%]>=   2.50 {   2.92 |   0.16 }
   7.50    250   0.41       0.06        4.00  1.47e+06  2.89e+06 [#] =  98.38 [%] <   1.00 {   0.39 |   0.05 }  47502 [#] =   1.62 [%] <   2.50 {   1.17 |   0.03 }     37 [#] =   0.00 [%]>=   2.50 {   2.95 |   0.19 }
   7.80    260   0.42       0.06        4.47  1.57e+06  2.88e+06 [#] =  97.98 [%] <   1.00 {   0.41 |   0.05 }  59312 [#] =   2.02 [%] <   2.50 {   1.18 |   0.03 }     50 [#] =   0.00 [%]>=   2.50 {   2.90 |   0.21 }
   8.10    270   0.44       0.07        5.04  1.57e+06  2.86e+06 [#] =  97.50 [%] <   1.00 {   0.42 |   0.05 }  73346 [#] =   2.50 [%] <   2.50 {   1.18 |   0.03 }     67 [#] =   0.00 [%]>=   2.50 {   2.85 |   0.22 }
   8.40    280   0.46       0.07        4.89  1.57e+06  2.84e+06 [#] =  96.94 [%] <   1.00 {   0.43 |   0.06 }  89586 [#] =   3.05 [%] <   2.50 {   1.18 |   0.03 }     85 [#] =   0.00 [%]>=   2.50 {   2.84 |   0.19 }
   8.70    290   0.47       0.08        4.58  1.47e+06  2.83e+06 [#] =  96.33 [%] <   1.00 {   0.45 |   0.06 }  1.08e+05 [#] =   3.67 [%] <   2.50 {   1.19 |   0.04 }    105 [#] =   0.00 [%]>=   2.50 {   2.83 |   0.15 }
   9.00    300   0.49       0.08        4.73  1.47e+06  2.81e+06 [#] =  95.63 [%] <   1.00 {   0.46 |   0.06 }  1.28e+05 [#] =   4.37 [%] <   2.50 {   1.19 |   0.04 }    135 [#] =   0.00 [%]>=   2.50 {   2.82 |   0.13 }
   9.30    310   0.51       0.09        4.88  1.47e+06  2.78e+06 [#] =  94.86 [%] <   1.00 {   0.47 |   0.07 }  1.51e+05 [#] =   5.13 [%] <   2.50 {   1.20 |   0.04 }    167 [#] =   0.01 [%]>=   2.50 {   2.82 |   0.13 }
   9.60    320   0.52       0.10        5.03  1.47e+06  2.76e+06 [#] =  94.03 [%] <   1.00 {   0.48 |   0.07 }  1.75e+05 [#] =   5.96 [%] <   2.50 {   1.20 |   0.04 }    215 [#] =   0.01 [%]>=   2.50 {   2.81 |   0.13 }
   9.90    330   0.54       0.10        5.18  1.47e+06  2.73e+06 [#] =  93.16 [%] <   1.00 {   0.49 |   0.07 }  2.00e+05 [#] =   6.83 [%] <   2.50 {   1.21 |   0.04 }    271 [#] =   0.01 [%]>=   2.50 {   2.82 |   0.13 }
  10.20    340   0.54       0.10        5.23  1.47e+06  2.72e+06 [#] =  92.76 [%] <   1.00 {   0.49 |   0.07 }  2.12e+05 [#] =   7.23 [%] <   2.50 {   1.21 |   0.04 }    293 [#] =   0.01 [%]>=   2.50 {   2.83 |   0.13 }
  10.50    350   0.54       0.10        5.22  1.47e+06  2.72e+06 [#] =  92.75 [%] <   1.00 {   0.49 |   0.07 }  2.12e+05 [#] =   7.24 [%] <   2.50 {   1.21 |   0.04 }    295 [#] =   0.01 [%]>=   2.50 {   2.83 |   0.14 }
