# Spatial statistics process output
# Kratos version               : 9.2."2"-5dfe714-Release-x86_64
# Timestamp                    : 2023-02-16 13:19:57.431125
# Method name(s)               : variance, max, distribution
# Variable info(s)             : CFL_NUMBER[magnitude, element_non_historical]
# Modelpart name               : FluidModelPart.fluid_computational_model_part
# Output control variable name : STEP
# ----------------------------------------------------------------------
# Headers:
#"TIME" "STEP" "mean" "variance" "max_value" "max_id"                    "group_below_min {mean|variance}"                            "group_1 {mean|variance}"                    "group_above_max {mean|variance}"
  63.00   2100   0.33       0.05        3.37  1.57e+06  2.91e+06 [#] =  99.30 [%] <   1.00 {   0.32 |   0.04 }  20491 [#] =   0.70 [%] <   2.50 {   1.15 |   0.03 }      8 [#] =   0.00 [%]>=   2.50 {   2.90 |   0.11 }
  63.30   2110   0.33       0.05        5.12  1.57e+06  2.91e+06 [#] =  99.30 [%] <   1.00 {   0.32 |   0.04 }  20501 [#] =   0.70 [%] <   2.50 {   1.15 |   0.03 }      8 [#] =   0.00 [%]>=   2.50 {   3.09 |   0.66 }
  63.60   2120   0.33       0.05        5.77  1.57e+06  2.91e+06 [#] =  99.31 [%] <   1.00 {   0.32 |   0.04 }  20338 [#] =   0.69 [%] <   2.50 {   1.15 |   0.03 }     13 [#] =   0.00 [%]>=   2.50 {   2.99 |   0.69 }
  63.90   2130   0.33       0.05        5.07  1.57e+06  2.91e+06 [#] =  99.31 [%] <   1.00 {   0.32 |   0.04 }  20129 [#] =   0.69 [%] <   2.50 {   1.15 |   0.03 }      7 [#] =   0.00 [%]>=   2.50 {   3.15 |   0.68 }
  64.20   2140   0.33       0.05        4.43  1.57e+06  2.91e+06 [#] =  99.32 [%] <   1.00 {   0.32 |   0.04 }  20025 [#] =   0.68 [%] <   2.50 {   1.15 |   0.03 }      7 [#] =   0.00 [%]>=   2.50 {   3.09 |   0.37 }
  64.50   2150   0.33       0.05        4.50  1.57e+06  2.91e+06 [#] =  99.32 [%] <   1.00 {   0.32 |   0.04 }  19976 [#] =   0.68 [%] <   2.50 {   1.15 |   0.03 }      8 [#] =   0.00 [%]>=   2.50 {   3.09 |   0.34 }
  64.80   2160   0.33       0.05        4.43  1.57e+06  2.91e+06 [#] =  99.32 [%] <   1.00 {   0.32 |   0.04 }  20017 [#] =   0.68 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   3.05 |   0.30 }
  65.10   2170   0.33       0.05        3.89  1.57e+06  2.91e+06 [#] =  99.32 [%] <   1.00 {   0.32 |   0.04 }  19996 [#] =   0.68 [%] <   2.50 {   1.15 |   0.02 }      7 [#] =   0.00 [%]>=   2.50 {   3.09 |   0.16 }
  65.40   2180   0.33       0.05        3.23  1.57e+06  2.91e+06 [#] =  99.32 [%] <   1.00 {   0.32 |   0.04 }  19944 [#] =   0.68 [%] <   2.50 {   1.15 |   0.02 }      5 [#] =   0.00 [%]>=   2.50 {   3.01 |   0.06 }
  65.70   2190   0.33       0.05        3.21  1.45e+06  2.91e+06 [#] =  99.32 [%] <   1.00 {   0.32 |   0.04 }  19830 [#] =   0.68 [%] <   2.50 {   1.15 |   0.02 }      4 [#] =   0.00 [%]>=   2.50 {   2.99 |   0.05 }
  66.00   2200   0.33       0.05        3.72  1.57e+06  2.91e+06 [#] =  99.32 [%] <   1.00 {   0.32 |   0.04 }  19890 [#] =   0.68 [%] <   2.50 {   1.15 |   0.02 }      5 [#] =   0.00 [%]>=   2.50 {   3.10 |   0.16 }
  66.30   2210   0.33       0.05        5.60  1.57e+06  2.91e+06 [#] =  99.31 [%] <   1.00 {   0.32 |   0.04 }  20120 [#] =   0.69 [%] <   2.50 {   1.15 |   0.02 }     10 [#] =   0.00 [%]>=   2.50 {   3.12 |   0.75 }
  66.60   2220   0.33       0.05        5.79  1.57e+06  2.91e+06 [#] =  99.30 [%] <   1.00 {   0.32 |   0.04 }  20507 [#] =   0.70 [%] <   2.50 {   1.15 |   0.02 }     13 [#] =   0.00 [%]>=   2.50 {   3.06 |   0.70 }
  66.90   2230   0.33       0.05        5.24  1.57e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.32 |   0.05 }  20767 [#] =   0.71 [%] <   2.50 {   1.15 |   0.03 }      9 [#] =   0.00 [%]>=   2.50 {   3.15 |   0.61 }
  67.20   2240   0.33       0.05        4.73  1.57e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.32 |   0.05 }  20844 [#] =   0.71 [%] <   2.50 {   1.15 |   0.03 }      9 [#] =   0.00 [%]>=   2.50 {   3.09 |   0.43 }
  67.50   2250   0.33       0.05        4.22  1.57e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.32 |   0.05 }  20892 [#] =   0.71 [%] <   2.50 {   1.15 |   0.03 }      8 [#] =   0.00 [%]>=   2.50 {   3.14 |   0.26 }
  67.80   2260   0.33       0.05        3.79  1.57e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.32 |   0.05 }  20872 [#] =   0.71 [%] <   2.50 {   1.15 |   0.03 }      7 [#] =   0.00 [%]>=   2.50 {   3.12 |   0.15 }
  68.10   2270   0.33       0.05        3.35  1.57e+06  2.91e+06 [#] =  99.30 [%] <   1.00 {   0.32 |   0.05 }  20678 [#] =   0.70 [%] <   2.50 {   1.15 |   0.02 }      7 [#] =   0.00 [%]>=   2.50 {   2.98 |   0.10 }
  68.40   2280   0.33       0.05        3.35  1.45e+06  2.91e+06 [#] =  99.30 [%] <   1.00 {   0.32 |   0.05 }  20663 [#] =   0.70 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.77 |   0.09 }
  68.70   2290   0.33       0.05        3.36  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.32 |   0.05 }  20767 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }      8 [#] =   0.00 [%]>=   2.50 {   2.83 |   0.09 }
  69.00   2300   0.33       0.05        3.37  1.45e+06  2.91e+06 [#] =  99.28 [%] <   1.00 {   0.32 |   0.05 }  20996 [#] =   0.72 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.85 |   0.09 }
  69.30   2310   0.33       0.05        3.38  1.45e+06  2.91e+06 [#] =  99.28 [%] <   1.00 {   0.32 |   0.05 }  21142 [#] =   0.72 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.90 |   0.09 }
  69.60   2320   0.33       0.05        3.39  1.45e+06  2.91e+06 [#] =  99.28 [%] <   1.00 {   0.32 |   0.05 }  21165 [#] =   0.72 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.91 |   0.10 }
  69.90   2330   0.33       0.05        3.38  1.45e+06  2.91e+06 [#] =  99.28 [%] <   1.00 {   0.32 |   0.05 }  21124 [#] =   0.72 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.86 |   0.11 }
  70.20   2340   0.33       0.05        3.37  1.45e+06  2.91e+06 [#] =  99.28 [%] <   1.00 {   0.32 |   0.05 }  21167 [#] =   0.72 [%] <   2.50 {   1.15 |   0.02 }      7 [#] =   0.00 [%]>=   2.50 {   2.90 |   0.10 }
  70.50   2350   0.33       0.05        3.37  1.45e+06  2.91e+06 [#] =  99.27 [%] <   1.00 {   0.32 |   0.05 }  21345 [#] =   0.73 [%] <   2.50 {   1.15 |   0.02 }      8 [#] =   0.00 [%]>=   2.50 {   2.84 |   0.10 }
  70.80   2360   0.33       0.05        3.37  1.45e+06  2.91e+06 [#] =  99.27 [%] <   1.00 {   0.32 |   0.05 }  21554 [#] =   0.73 [%] <   2.50 {   1.15 |   0.02 }      8 [#] =   0.00 [%]>=   2.50 {   2.83 |   0.10 }
  71.10   2370   0.33       0.05        3.38  1.45e+06  2.91e+06 [#] =  99.26 [%] <   1.00 {   0.32 |   0.05 }  21754 [#] =   0.74 [%] <   2.50 {   1.15 |   0.02 }      7 [#] =   0.00 [%]>=   2.50 {   2.89 |   0.10 }
  71.40   2380   0.33       0.05        3.38  1.45e+06  2.91e+06 [#] =  99.25 [%] <   1.00 {   0.32 |   0.05 }  21937 [#] =   0.75 [%] <   2.50 {   1.15 |   0.02 }      7 [#] =   0.00 [%]>=   2.50 {   2.90 |   0.10 }
  71.70   2390   0.33       0.05        3.37  1.45e+06  2.91e+06 [#] =  99.25 [%] <   1.00 {   0.32 |   0.05 }  22077 [#] =   0.75 [%] <   2.50 {   1.15 |   0.02 }      7 [#] =   0.00 [%]>=   2.50 {   2.90 |   0.09 }
  72.00   2400   0.33       0.05        3.37  1.45e+06  2.91e+06 [#] =  99.25 [%] <   1.00 {   0.32 |   0.05 }  21906 [#] =   0.75 [%] <   2.50 {   1.15 |   0.02 }      7 [#] =   0.00 [%]>=   2.50 {   2.90 |   0.09 }
  72.30   2410   0.33       0.05        3.37  1.45e+06  2.91e+06 [#] =  99.27 [%] <   1.00 {   0.32 |   0.05 }  21552 [#] =   0.73 [%] <   2.50 {   1.15 |   0.03 }      7 [#] =   0.00 [%]>=   2.50 {   2.90 |   0.09 }
  72.60   2420   0.33       0.05        3.38  1.45e+06  2.91e+06 [#] =  99.27 [%] <   1.00 {   0.32 |   0.04 }  21334 [#] =   0.73 [%] <   2.50 {   1.15 |   0.02 }      8 [#] =   0.00 [%]>=   2.50 {   2.88 |   0.10 }
  72.90   2430   0.33       0.05        3.38  1.45e+06  2.91e+06 [#] =  99.28 [%] <   1.00 {   0.32 |   0.04 }  21074 [#] =   0.72 [%] <   2.50 {   1.15 |   0.02 }      8 [#] =   0.00 [%]>=   2.50 {   2.86 |   0.11 }
  73.20   2440   0.33       0.05        3.39  1.45e+06  2.91e+06 [#] =  99.28 [%] <   1.00 {   0.33 |   0.04 }  21173 [#] =   0.72 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.80 |   0.10 }
  73.50   2450   0.33       0.05        3.39  1.45e+06  2.91e+06 [#] =  99.27 [%] <   1.00 {   0.33 |   0.04 }  21369 [#] =   0.73 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.83 |   0.10 }
  73.80   2460   0.33       0.05        3.39  1.45e+06  2.91e+06 [#] =  99.26 [%] <   1.00 {   0.33 |   0.05 }  21697 [#] =   0.74 [%] <   2.50 {   1.15 |   0.02 }      7 [#] =   0.00 [%]>=   2.50 {   3.01 |   0.08 }
  74.10   2470   0.33       0.05        3.39  1.45e+06  2.91e+06 [#] =  99.25 [%] <   1.00 {   0.33 |   0.05 }  21953 [#] =   0.75 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.94 |   0.11 }
  74.40   2480   0.33       0.05        3.39  1.45e+06  2.91e+06 [#] =  99.25 [%] <   1.00 {   0.33 |   0.05 }  22026 [#] =   0.75 [%] <   2.50 {   1.15 |   0.02 }      8 [#] =   0.00 [%]>=   2.50 {   2.97 |   0.07 }
  74.70   2490   0.33       0.05        3.38  1.45e+06  2.91e+06 [#] =  99.25 [%] <   1.00 {   0.33 |   0.05 }  21907 [#] =   0.75 [%] <   2.50 {   1.15 |   0.02 }      8 [#] =   0.00 [%]>=   2.50 {   2.91 |   0.09 }
  75.00   2500   0.33       0.05        3.38  1.45e+06  2.91e+06 [#] =  99.26 [%] <   1.00 {   0.33 |   0.05 }  21739 [#] =   0.74 [%] <   2.50 {   1.15 |   0.02 }      7 [#] =   0.00 [%]>=   2.50 {   2.89 |   0.10 }
  75.30   2510   0.33       0.05        3.38  1.45e+06  2.91e+06 [#] =  99.26 [%] <   1.00 {   0.33 |   0.05 }  21707 [#] =   0.74 [%] <   2.50 {   1.15 |   0.02 }      7 [#] =   0.00 [%]>=   2.50 {   2.86 |   0.11 }
  75.60   2520   0.33       0.05        3.37  1.45e+06  2.91e+06 [#] =  99.26 [%] <   1.00 {   0.33 |   0.05 }  21826 [#] =   0.74 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.80 |   0.10 }
  75.90   2530   0.33       0.05        3.36  1.45e+06  2.91e+06 [#] =  99.25 [%] <   1.00 {   0.33 |   0.05 }  21995 [#] =   0.75 [%] <   2.50 {   1.15 |   0.02 }     14 [#] =   0.00 [%]>=   2.50 {   2.73 |   0.07 }
  76.20   2540   0.33       0.05        3.35  1.45e+06  2.91e+06 [#] =  99.25 [%] <   1.00 {   0.33 |   0.05 }  22092 [#] =   0.75 [%] <   2.50 {   1.15 |   0.02 }     13 [#] =   0.00 [%]>=   2.50 {   2.78 |   0.07 }
  76.50   2550   0.33       0.05        3.33  1.45e+06  2.91e+06 [#] =  99.24 [%] <   1.00 {   0.33 |   0.05 }  22188 [#] =   0.76 [%] <   2.50 {   1.15 |   0.02 }     10 [#] =   0.00 [%]>=   2.50 {   2.87 |   0.08 }
  76.80   2560   0.33       0.05        3.32  1.45e+06  2.91e+06 [#] =  99.25 [%] <   1.00 {   0.33 |   0.05 }  22128 [#] =   0.75 [%] <   2.50 {   1.15 |   0.02 }     10 [#] =   0.00 [%]>=   2.50 {   2.90 |   0.08 }
  77.10   2570   0.33       0.05        3.34  1.45e+06  2.91e+06 [#] =  99.25 [%] <   1.00 {   0.33 |   0.05 }  21977 [#] =   0.75 [%] <   2.50 {   1.15 |   0.02 }     10 [#] =   0.00 [%]>=   2.50 {   2.94 |   0.09 }
  77.40   2580   0.33       0.05        3.37  1.45e+06  2.91e+06 [#] =  99.25 [%] <   1.00 {   0.33 |   0.05 }  21973 [#] =   0.75 [%] <   2.50 {   1.15 |   0.02 }     11 [#] =   0.00 [%]>=   2.50 {   2.89 |   0.10 }
  77.70   2590   0.33       0.05        3.42  1.45e+06  2.91e+06 [#] =  99.24 [%] <   1.00 {   0.33 |   0.05 }  22294 [#] =   0.76 [%] <   2.50 {   1.15 |   0.02 }     11 [#] =   0.00 [%]>=   2.50 {   2.87 |   0.09 }
  78.00   2600   0.33       0.05        3.44  1.45e+06  2.91e+06 [#] =  99.23 [%] <   1.00 {   0.33 |   0.05 }  22643 [#] =   0.77 [%] <   2.50 {   1.15 |   0.02 }     11 [#] =   0.00 [%]>=   2.50 {   2.85 |   0.09 }
  78.30   2610   0.33       0.05        3.42  1.45e+06  2.91e+06 [#] =  99.22 [%] <   1.00 {   0.33 |   0.05 }  22990 [#] =   0.78 [%] <   2.50 {   1.15 |   0.02 }     11 [#] =   0.00 [%]>=   2.50 {   2.84 |   0.09 }
  78.60   2620   0.33       0.05        3.34  1.45e+06  2.91e+06 [#] =  99.20 [%] <   1.00 {   0.33 |   0.05 }  23326 [#] =   0.79 [%] <   2.50 {   1.15 |   0.02 }     10 [#] =   0.00 [%]>=   2.50 {   2.89 |   0.09 }
  78.90   2630   0.33       0.05        3.64  1.45e+06  2.91e+06 [#] =  99.19 [%] <   1.00 {   0.33 |   0.05 }  23654 [#] =   0.81 [%] <   2.50 {   1.15 |   0.03 }     10 [#] =   0.00 [%]>=   2.50 {   2.95 |   0.13 }
  79.20   2640   0.33       0.05        3.87  1.45e+06  2.91e+06 [#] =  99.19 [%] <   1.00 {   0.33 |   0.05 }  23795 [#] =   0.81 [%] <   2.50 {   1.15 |   0.03 }     11 [#] =   0.00 [%]>=   2.50 {   2.97 |   0.18 }
  79.50   2650   0.33       0.05        3.56  1.45e+06  2.91e+06 [#] =  99.19 [%] <   1.00 {   0.33 |   0.05 }  23745 [#] =   0.81 [%] <   2.50 {   1.15 |   0.03 }     12 [#] =   0.00 [%]>=   2.50 {   2.91 |   0.12 }
  79.80   2660   0.33       0.05        3.50  1.45e+06  2.91e+06 [#] =  99.19 [%] <   1.00 {   0.33 |   0.05 }  23731 [#] =   0.81 [%] <   2.50 {   1.15 |   0.03 }     15 [#] =   0.00 [%]>=   2.50 {   2.82 |   0.10 }
  80.10   2670   0.33       0.05        3.61  1.45e+06  2.91e+06 [#] =  99.19 [%] <   1.00 {   0.33 |   0.05 }  23700 [#] =   0.81 [%] <   2.50 {   1.15 |   0.03 }     15 [#] =   0.00 [%]>=   2.50 {   2.82 |   0.12 }
  80.40   2680   0.33       0.05        3.62  1.45e+06  2.91e+06 [#] =  99.20 [%] <   1.00 {   0.33 |   0.05 }  23532 [#] =   0.80 [%] <   2.50 {   1.15 |   0.03 }     13 [#] =   0.00 [%]>=   2.50 {   2.81 |   0.13 }
  80.70   2690   0.33       0.05        3.54  1.45e+06  2.91e+06 [#] =  99.20 [%] <   1.00 {   0.33 |   0.05 }  23502 [#] =   0.80 [%] <   2.50 {   1.15 |   0.03 }     10 [#] =   0.00 [%]>=   2.50 {   2.86 |   0.12 }
  81.00   2700   0.33       0.05        3.44  1.45e+06  2.91e+06 [#] =  99.19 [%] <   1.00 {   0.32 |   0.05 }  23675 [#] =   0.81 [%] <   2.50 {   1.15 |   0.03 }     11 [#] =   0.00 [%]>=   2.50 {   2.85 |   0.09 }
  81.30   2710   0.33       0.05        3.39  1.45e+06  2.91e+06 [#] =  99.19 [%] <   1.00 {   0.32 |   0.05 }  23880 [#] =   0.81 [%] <   2.50 {   1.15 |   0.03 }     11 [#] =   0.00 [%]>=   2.50 {   2.94 |   0.09 }
  81.60   2720   0.33       0.05        3.52  1.45e+06  2.91e+06 [#] =  99.18 [%] <   1.00 {   0.32 |   0.05 }  24074 [#] =   0.82 [%] <   2.50 {   1.16 |   0.03 }     11 [#] =   0.00 [%]>=   2.50 {   2.97 |   0.10 }
  81.90   2730   0.33       0.05        3.40  1.45e+06  2.91e+06 [#] =  99.18 [%] <   1.00 {   0.32 |   0.05 }  24174 [#] =   0.82 [%] <   2.50 {   1.16 |   0.03 }     10 [#] =   0.00 [%]>=   2.50 {   3.00 |   0.07 }
  82.20   2740   0.33       0.05        3.43  1.45e+06  2.91e+06 [#] =  99.18 [%] <   1.00 {   0.32 |   0.05 }  24089 [#] =   0.82 [%] <   2.50 {   1.15 |   0.03 }     10 [#] =   0.00 [%]>=   2.50 {   2.96 |   0.07 }
  82.50   2750   0.33       0.05        3.49  1.45e+06  2.91e+06 [#] =  99.18 [%] <   1.00 {   0.32 |   0.05 }  24122 [#] =   0.82 [%] <   2.50 {   1.15 |   0.03 }     11 [#] =   0.00 [%]>=   2.50 {   2.89 |   0.10 }
  82.80   2760   0.33       0.05        3.54  1.45e+06  2.91e+06 [#] =  99.17 [%] <   1.00 {   0.32 |   0.05 }  24484 [#] =   0.83 [%] <   2.50 {   1.15 |   0.03 }     12 [#] =   0.00 [%]>=   2.50 {   2.86 |   0.11 }
  83.10   2770   0.33       0.05        3.53  1.45e+06  2.91e+06 [#] =  99.16 [%] <   1.00 {   0.32 |   0.05 }  24745 [#] =   0.84 [%] <   2.50 {   1.16 |   0.03 }     12 [#] =   0.00 [%]>=   2.50 {   2.90 |   0.12 }
  83.40   2780   0.33       0.05        3.63  1.45e+06  2.91e+06 [#] =  99.14 [%] <   1.00 {   0.32 |   0.05 }  25131 [#] =   0.86 [%] <   2.50 {   1.16 |   0.03 }     12 [#] =   0.00 [%]>=   2.50 {   2.94 |   0.15 }
  83.70   2790   0.33       0.05        3.76  1.45e+06  2.91e+06 [#] =  99.14 [%] <   1.00 {   0.32 |   0.05 }  25305 [#] =   0.86 [%] <   2.50 {   1.16 |   0.03 }     11 [#] =   0.00 [%]>=   2.50 {   3.00 |   0.16 }
  84.00   2800   0.33       0.05        3.38  1.45e+06  2.91e+06 [#] =  99.15 [%] <   1.00 {   0.32 |   0.05 }  25078 [#] =   0.85 [%] <   2.50 {   1.16 |   0.03 }     11 [#] =   0.00 [%]>=   2.50 {   2.92 |   0.07 }
  84.30   2810   0.33       0.05        3.37  1.45e+06  2.91e+06 [#] =  99.16 [%] <   1.00 {   0.32 |   0.05 }  24749 [#] =   0.84 [%] <   2.50 {   1.16 |   0.03 }     11 [#] =   0.00 [%]>=   2.50 {   2.85 |   0.07 }
  84.60   2820   0.33       0.05        3.39  1.45e+06  2.91e+06 [#] =  99.16 [%] <   1.00 {   0.32 |   0.05 }  24582 [#] =   0.84 [%] <   2.50 {   1.16 |   0.03 }     10 [#] =   0.00 [%]>=   2.50 {   2.82 |   0.08 }
  84.90   2830   0.33       0.05        3.43  1.45e+06  2.91e+06 [#] =  99.16 [%] <   1.00 {   0.32 |   0.05 }  24608 [#] =   0.84 [%] <   2.50 {   1.15 |   0.03 }     11 [#] =   0.00 [%]>=   2.50 {   2.79 |   0.09 }
  85.20   2840   0.33       0.05        3.51  1.45e+06  2.91e+06 [#] =  99.16 [%] <   1.00 {   0.32 |   0.05 }  24761 [#] =   0.84 [%] <   2.50 {   1.16 |   0.03 }     14 [#] =   0.00 [%]>=   2.50 {   2.82 |   0.10 }
  85.50   2850   0.33       0.05        3.59  1.45e+06  2.91e+06 [#] =  99.15 [%] <   1.00 {   0.32 |   0.05 }  25033 [#] =   0.85 [%] <   2.50 {   1.16 |   0.03 }     16 [#] =   0.00 [%]>=   2.50 {   2.86 |   0.14 }
  85.80   2860   0.33       0.05        3.65  1.45e+06  2.91e+06 [#] =  99.15 [%] <   1.00 {   0.32 |   0.05 }  25047 [#] =   0.85 [%] <   2.50 {   1.16 |   0.03 }     13 [#] =   0.00 [%]>=   2.50 {   2.92 |   0.19 }
  86.10   2870   0.33       0.05        3.54  1.45e+06  2.91e+06 [#] =  99.16 [%] <   1.00 {   0.32 |   0.05 }  24727 [#] =   0.84 [%] <   2.50 {   1.16 |   0.03 }     10 [#] =   0.00 [%]>=   2.50 {   2.96 |   0.15 }
  86.40   2880   0.33       0.05        3.48  1.45e+06  2.91e+06 [#] =  99.18 [%] <   1.00 {   0.32 |   0.05 }  24067 [#] =   0.82 [%] <   2.50 {   1.16 |   0.03 }      9 [#] =   0.00 [%]>=   2.50 {   2.91 |   0.12 }
  86.70   2890   0.33       0.05        3.47  1.45e+06  2.91e+06 [#] =  99.20 [%] <   1.00 {   0.32 |   0.05 }  23545 [#] =   0.80 [%] <   2.50 {   1.15 |   0.03 }     10 [#] =   0.00 [%]>=   2.50 {   2.83 |   0.11 }
  87.00   2900   0.33       0.05        3.50  1.45e+06  2.91e+06 [#] =  99.20 [%] <   1.00 {   0.32 |   0.05 }  23518 [#] =   0.80 [%] <   2.50 {   1.15 |   0.03 }      9 [#] =   0.00 [%]>=   2.50 {   2.88 |   0.13 }
  87.30   2910   0.33       0.05        3.55  1.45e+06  2.91e+06 [#] =  99.19 [%] <   1.00 {   0.32 |   0.05 }  23758 [#] =   0.81 [%] <   2.50 {   1.15 |   0.03 }     10 [#] =   0.00 [%]>=   2.50 {   2.90 |   0.16 }
  87.60   2920   0.33       0.05        3.57  1.45e+06  2.91e+06 [#] =  99.18 [%] <   1.00 {   0.32 |   0.05 }  23908 [#] =   0.81 [%] <   2.50 {   1.16 |   0.03 }     10 [#] =   0.00 [%]>=   2.50 {   2.96 |   0.18 }
  87.90   2930   0.33       0.05        3.53  1.45e+06  2.91e+06 [#] =  99.18 [%] <   1.00 {   0.32 |   0.05 }  23946 [#] =   0.82 [%] <   2.50 {   1.16 |   0.03 }     13 [#] =   0.00 [%]>=   2.50 {   2.89 |   0.15 }
  88.20   2940   0.33       0.05        3.48  1.45e+06  2.91e+06 [#] =  99.19 [%] <   1.00 {   0.32 |   0.05 }  23762 [#] =   0.81 [%] <   2.50 {   1.16 |   0.03 }     15 [#] =   0.00 [%]>=   2.50 {   2.85 |   0.10 }
  88.50   2950   0.33       0.05        3.46  1.45e+06  2.91e+06 [#] =  99.20 [%] <   1.00 {   0.32 |   0.05 }  23547 [#] =   0.80 [%] <   2.50 {   1.15 |   0.03 }     13 [#] =   0.00 [%]>=   2.50 {   2.83 |   0.09 }
  88.80   2960   0.33       0.05        3.49  1.45e+06  2.91e+06 [#] =  99.21 [%] <   1.00 {   0.32 |   0.05 }  23150 [#] =   0.79 [%] <   2.50 {   1.15 |   0.03 }      9 [#] =   0.00 [%]>=   2.50 {   2.88 |   0.11 }
  89.10   2970   0.33       0.05        3.53  1.45e+06  2.91e+06 [#] =  99.22 [%] <   1.00 {   0.32 |   0.05 }  22827 [#] =   0.78 [%] <   2.50 {   1.15 |   0.03 }      8 [#] =   0.00 [%]>=   2.50 {   2.91 |   0.14 }
  89.40   2980   0.33       0.05        3.54  1.45e+06  2.91e+06 [#] =  99.22 [%] <   1.00 {   0.32 |   0.05 }  22800 [#] =   0.78 [%] <   2.50 {   1.15 |   0.03 }      9 [#] =   0.00 [%]>=   2.50 {   2.90 |   0.16 }
  89.70   2990   0.33       0.05        3.51  1.45e+06  2.91e+06 [#] =  99.22 [%] <   1.00 {   0.32 |   0.05 }  22974 [#] =   0.78 [%] <   2.50 {   1.15 |   0.03 }      9 [#] =   0.00 [%]>=   2.50 {   2.90 |   0.14 }
  90.00   3000   0.33       0.05        3.46  1.45e+06  2.91e+06 [#] =  99.21 [%] <   1.00 {   0.32 |   0.05 }  23120 [#] =   0.79 [%] <   2.50 {   1.16 |   0.03 }     10 [#] =   0.00 [%]>=   2.50 {   2.86 |   0.11 }
  90.30   3010   0.33       0.05        3.44  1.45e+06  2.91e+06 [#] =  99.21 [%] <   1.00 {   0.32 |   0.05 }  23236 [#] =   0.79 [%] <   2.50 {   1.15 |   0.03 }     14 [#] =   0.00 [%]>=   2.50 {   2.80 |   0.08 }
  90.60   3020   0.33       0.05        3.46  1.45e+06  2.91e+06 [#] =  99.21 [%] <   1.00 {   0.32 |   0.05 }  23117 [#] =   0.79 [%] <   2.50 {   1.15 |   0.03 }     13 [#] =   0.00 [%]>=   2.50 {   2.81 |   0.08 }
  90.90   3030   0.33       0.05        3.50  1.45e+06  2.91e+06 [#] =  99.22 [%] <   1.00 {   0.32 |   0.05 }  22859 [#] =   0.78 [%] <   2.50 {   1.15 |   0.03 }     11 [#] =   0.00 [%]>=   2.50 {   2.80 |   0.12 }
  91.20   3040   0.33       0.05        3.52  1.45e+06  2.91e+06 [#] =  99.23 [%] <   1.00 {   0.32 |   0.05 }  22718 [#] =   0.77 [%] <   2.50 {   1.15 |   0.03 }      8 [#] =   0.00 [%]>=   2.50 {   2.90 |   0.14 }
  91.50   3050   0.33       0.05        3.49  1.45e+06  2.91e+06 [#] =  99.23 [%] <   1.00 {   0.32 |   0.05 }  22718 [#] =   0.77 [%] <   2.50 {   1.15 |   0.02 }      8 [#] =   0.00 [%]>=   2.50 {   2.94 |   0.15 }
  91.80   3060   0.33       0.05        3.43  1.45e+06  2.91e+06 [#] =  99.23 [%] <   1.00 {   0.32 |   0.05 }  22697 [#] =   0.77 [%] <   2.50 {   1.15 |   0.03 }      8 [#] =   0.00 [%]>=   2.50 {   2.94 |   0.13 }
  92.10   3070   0.33       0.05        3.40  1.45e+06  2.91e+06 [#] =  99.23 [%] <   1.00 {   0.32 |   0.05 }  22695 [#] =   0.77 [%] <   2.50 {   1.15 |   0.03 }      9 [#] =   0.00 [%]>=   2.50 {   2.88 |   0.11 }
  92.40   3080   0.33       0.05        3.39  1.45e+06  2.91e+06 [#] =  99.23 [%] <   1.00 {   0.32 |   0.05 }  22590 [#] =   0.77 [%] <   2.50 {   1.15 |   0.03 }     13 [#] =   0.00 [%]>=   2.50 {   2.84 |   0.08 }
  92.70   3090   0.33       0.05        3.41  1.45e+06  2.91e+06 [#] =  99.24 [%] <   1.00 {   0.32 |   0.05 }  22354 [#] =   0.76 [%] <   2.50 {   1.15 |   0.03 }     14 [#] =   0.00 [%]>=   2.50 {   2.81 |   0.07 }
  93.00   3100   0.33       0.05        3.40  1.45e+06  2.91e+06 [#] =  99.25 [%] <   1.00 {   0.32 |   0.05 }  22029 [#] =   0.75 [%] <   2.50 {   1.15 |   0.03 }      9 [#] =   0.00 [%]>=   2.50 {   2.87 |   0.08 }
