# Level force for level 10
# start: 0.0, 0.0, 43.9814462962963
# center: 0.0, 0.0, 46.29625925925926
# end: 0.0, 0.0, 48.61107222222222
# as part of FluidModelPart.Drag_structure
# Time Fx Fy Fz Mx My Mz Fx' Fy' Fz' Mx' My' Mz'
0.03 -1158.08474204 -16625.53575570 -0.31817974 3602.68040632 2880.90127488 36299.04764946 -12574.91864800 -10937.13949943 -0.31817974 4584.58457315 -510.37491836 36299.04764946
0.06 -3379.57269825 -47543.57042946 -0.73449183 10301.44002130 8227.58033600 103820.44345227 -36008.09982494 -31228.66228004 -0.73449183 13101.99594339 -1466.44024670 103820.44345227
0.09 -6323.00423796 -89295.30096233 -1.11304966 19341.81433989 15456.24544912 195004.00659987 -67612.35201269 -58670.27366442 -1.11304966 24605.94404894 -2747.51211143 195004.00659987
0.12 -9520.41537856 -137616.43631119 -1.25589290 29791.22300816 23852.36265427 300520.95883588 -104041.46559226 -90577.56504448 -1.25589290 37931.74318907 -4199.40842876 300520.95883588
0.15 -12527.26105114 -187840.11970707 -0.86868346 40629.74127708 32621.88161590 410161.19456196 -141681.13366271 -123964.91118481 -0.86868346 51796.71928055 -5662.41186921 410161.19456196
0.18 -15077.54433473 -235325.57106780 0.40980286 50848.00404501 40946.58632692 513778.52754392 -177061.74093137 -155738.87324591 0.40980286 64908.57732824 -7001.35961182 513778.52754392
0.21 -17173.68463595 -275869.99536425 2.89886660 59541.37929673 48047.26294829 602197.68771925 -207213.17331200 -182925.91558392 2.89886660 76076.65851011 -8127.56761373 602197.68771925
0.24 -19065.72316877 -306068.19737257 6.69732743 65990.64716106 53255.24277140 668002.48249865 -229904.40000855 -202941.39572683 6.69732743 84319.57739987 -9005.29080508 668002.48249865
0.27 -21118.93578759 -323590.34851055 11.56348078 69719.43607782 56085.95956001 706134.33162423 -243746.27246517 -213879.58705147 11.56348078 88957.84836537 -9640.32369689 706134.33162423
0.30000000000000004 -23618.00573812 -327355.54695363 16.83584469 70524.61824003 56302.75165397 714259.85992212 -248175.77912547 -214774.87509441 16.83584469 89680.49329210 -10056.37830414 714259.85992212
0.33000000000000007 -26579.49288275 -317587.22555418 21.59567599 68475.62214867 53955.55774399 692875.75193385 -243362.62046547 -205773.54114970 21.59567599 86571.91753077 -10267.23600382 692875.75193385
0.3600000000000001 -29648.72973795 -295747.23354577 24.95927502 63888.63240421 49382.85777619 645158.65761774 -230089.69220865 -188160.05650611 24.95927502 80095.03882167 -10257.13160583 645158.65761774
0.3900000000000001 -32129.32106916 -264356.64025952 26.25687533 57284.65869054 43171.74458754 576580.18403414 -209647.23378212 -164209.51217628 26.25687533 71033.40397154 -9979.33726453 576580.18403414
0.42000000000000015 -33135.25309943 -226721.99266822 25.37518645 49332.46238679 36080.11330746 494323.82720458 -183746.82062277 -136886.49629689 25.37518645 60395.81147202 -9370.82590065 494323.82720458
0.4500000000000002 -31828.86644218 -186595.79786049 22.61785850 40790.28844963 28935.37766567 406561.07949151 -154449.56130682 -109436.74670932 22.61785850 49303.49133288 -8382.68780570 406561.07949151
0.4800000000000002 -27662.97455525 -147806.20856926 18.59825546 32440.64394100 22526.87729292 321652.02810936 -124075.44927660 -84954.09548498 18.59825546 38867.90700952 -7010.09162396 321652.02810936
0.5100000000000002 -20558.75705950 -113893.60753749 14.04961663 25024.05925916 17510.95743337 247353.21164322 -95072.17875309 -65997.70569402 14.04961663 30076.79874117 -5312.56524877 247353.21164322
0.5400000000000003 -10974.10048551 -87789.90181717 9.65787325 19175.63456508 14342.29520738 190111.70674625 -69836.69576534 -54316.97402389 9.65787325 23700.75543344 -3417.68703561 190111.70674625
0.5700000000000003 145.74102486 -71570.15019294 5.95564957 15370.26751391 13237.96052334 154513.13527356 -50504.68406500 -50710.79299894 5.95564957 20229.07204287 -1507.76873260 154513.13527356
0.6000000000000003 11509.99693549 -66297.46459195 3.28278105 13882.88236232 14173.54351713 142931.67362946 -38740.58990392 -55018.18367297 3.28278105 19838.88899522 205.52847359 142931.67362946
0.6300000000000003 21676.12170886 -71970.74598225 1.79537194 14768.18278089 16906.32702761 155405.03550163 -35563.66988094 -66218.33518126 1.79537194 22397.26067635 1511.89629601 155405.03550163
0.6600000000000004 29255.26382666 -87574.15712914 1.49604936 17862.08706696 21018.51394781 189733.73307826 -41237.68492548 -82610.87579995 1.49604936 27492.73663415 2231.93085177 189733.73307826
0.6900000000000004 33099.26829348 -111217.86462640 2.26749711 22804.01305587 25974.12456203 241782.19298119 -55238.18920378 -102047.62332905 2.26749711 34491.35188326 2241.60734312 241782.19298119
0.7200000000000004 32454.80907332 -140351.81033656 3.88981674 29076.90820928 31183.76578796 305943.42714763 -76294.70126293 -122192.73241865 3.88981674 42610.73122232 1489.77328088 305943.42714763
0.7500000000000004 27078.01566507 -172029.30344592 6.04601632 36059.92907289 36072.04309339 375716.77822507 -102496.03853156 -140790.13552725 6.04601632 51005.00665914 8.56590605 375716.77822507
0.7800000000000005 17302.24729209 -203194.71633631 8.32804347 43088.10597897 40141.38755142 444342.82487185 -131445.82543268 -155914.89821268 8.32804347 58852.13927006 -2083.64458236 444342.82487185
0.8100000000000005 4046.50524687 -230969.04514301 10.26844276 49513.38133948 43025.07806703 505438.81034817 -160458.46676463 -166181.08936497 10.26844276 65434.57216690 -4587.92324235 505438.81034817
0.8400000000000005 -11250.98943854 -252908.43134528 11.41344306 54762.05076151 44522.13789825 553579.87220529 -186788.91775055 -170877.61589645 11.41344306 70204.52306593 -7240.71182437 553579.87220529
0.8700000000000006 -26783.55067179 -267213.81800175 11.42666863 58384.48510354 44608.66413807 584775.42181209 -207887.53304006 -170009.87243151 11.42666863 72827.15424450 -9740.97642110 584775.42181209
0.9000000000000006 -40603.19377631 -272874.06766247 10.18706351 60093.51239229 43424.27589654 596797.36135328 -221661.89731115 -164240.30999703 10.18706351 73198.13007246 -11786.93016335 596797.36135328
0.9300000000000006 -50894.76465367 -269731.07954727 7.83793953 59788.50812185 41237.05255795 589330.36467248 -226716.70865814 -154740.64223114 7.83793953 71435.85902986 -13117.86003012 589330.36467248
0.9600000000000006 -56250.50119697 -258462.78724524 4.76620785 57562.52798598 38394.79552019 563931.29682278 -222535.90038700 -142985.67870397 4.76620785 67852.07415573 -13553.63360653 563931.29682278
0.9900000000000007 -55889.54057401 -240486.74802294 1.51046623 53690.78470823 35272.16808370 523805.41582939 -209569.68344981 -130529.93717524 1.51046623 62906.30719355 -13023.92871528 523805.41582939
1.0200000000000007 -49780.31412963 -217796.21574721 -1.35780680 48600.60920231 32222.86953403 473427.71315379 -189205.17876228 -118805.18338096 -1.35780680 57150.82989355 -11580.81077995 473427.71315379
1.0500000000000007 -38642.68857822 -192746.36967823 -3.35593725 42825.53169469 29543.22493668 418053.48833286 -163616.77218550 -108967.75791162 -3.35593725 51172.43856008 -9392.00917839 418053.48833286
1.0800000000000007 -23834.11869596 -167813.62767995 -4.15817238 36949.19685323 27450.12731748 363173.58175729 -135515.42106153 -101808.88715449 -4.15817238 45537.19882494 -6716.85648370 363173.58175729
1.1100000000000008 -7145.82884574 -145353.16945603 -3.63782462 31544.38394275 26072.78877608 313972.83900242 -107833.07582333 -97727.34775530 -3.63782462 40741.49354228 -3869.00204626 313972.83900242
1.1400000000000008 9451.47421546 -127378.78834502 -1.85514135 27115.86648667 25455.91985136 274842.47944407 -83387.20350813 -96753.60652805 -1.85514135 37173.86661871 -1173.75952223 274842.47944407
1.1700000000000008 24069.37346227 -115385.88850780 0.91758406 24050.63473149 25570.42572097 248994.00792595 -64570.52702302 -98609.76141118 0.91758406 35087.38833560 1074.65451464 248994.00792595
1.2000000000000008 35132.98137867 -110232.88698411 4.29374300 22585.42409149 26328.85385529 238214.82798743 -53103.65252008 -102789.19127239 4.29374300 34587.61763301 2647.00457088 238214.82798743
1.2300000000000009 41554.24241148 -112089.48167770 7.83644223 22789.68795811 27602.69130298 242771.81817237 -49875.94599776 -108642.51919022 7.83644223 35632.79309564 3403.30730303 242771.81817237
1.260000000000001 42832.73939299 -120452.86395255 11.11405833 24566.20922998 29239.11952902 261463.56264796 -54885.71643261 -115460.35739577 11.11405833 38046.11282946 3304.24656033 261463.56264796
1.290000000000001 39077.12668651 -134227.17020046 13.76109276 27669.62698667 31076.04547688 291812.44084677 -67281.24099891 -122544.64353754 13.76109276 41539.46336433 2408.70161399 291812.44084677
1.320000000000001 30954.18275244 -151854.75006983 15.52040231 31737.46406726 32954.51605826 330365.92033276 -85489.61099942 -129265.43606010 15.52040231 45744.13783514 860.58571590 330365.92033276
1.350000000000001 19577.17765939 -171484.69466572 16.27812738 36330.96680760 34728.35234903 373072.21285566 -107414.83538838 -135101.14554729 16.27812738 50246.52644215 -1133.21955129 373072.21285566
1.380000000000001 6352.21847501 -191161.00257905 16.07330414 40981.39722103 36271.36562925 415691.24805125 -130679.54446281 -139662.93798132 16.07330414 54625.95247683 -3330.49527815 415691.24805125
1.410000000000001 -7196.27601113 -209012.12213768 15.06820395 45237.39847529 37482.66996169 454199.40973873 -152882.42448050 -142705.35334699 15.06820395 58491.92133200 -5483.42111823 454199.40973873
1.440000000000001 -19599.18387403 -223424.31139491 13.51253371 48707.90621372 38290.78019053 485153.00935202 -171843.56149232 -144126.12984622 13.51253371 61517.36111077 -7366.02045148 485153.00935202
1.470000000000001 -29596.00869618 -233183.47680157 11.70107906 51096.98015961 38656.81507685 505980.62394958 -185813.15615216 -143958.07926192 11.70107906 63465.51724893 -8796.52508910 505980.62394958
