# Level force for level 3
# start: 0.0, 0.0, 11.574064814814815
# center: 0.0, 0.0, 13.888877777777777
# end: 0.0, 0.0, 16.20369074074074
# as part of FluidModelPart.Drag_structure
# Time Fx Fy Fz Mx My Mz Fx' Fy' Fz' Mx' My' Mz'
0.03 15883.23536335 -29020.78029437 -0.10222303 -20051.40356424 57901.50346938 -101642.79270267 -9289.64710887 -31751.93397408 -0.10222303 26764.06231151 55121.02917668 -101642.79270267
0.06 45347.34798774 -82992.27704074 -0.23244371 -57342.58908771 165577.47061227 -290726.65100541 -26618.98461067 -90749.81915258 -0.23244371 76533.61868694 157628.28587636 -290726.65100541
0.09 85185.52956114 -155881.56086096 -0.32467303 -107693.17996440 310971.39785438 -546018.91314629 -49989.64313508 -170460.17435838 -0.32467303 143739.40633752 296040.56201826 -546018.91314629
0.12 131494.76469652 -240253.08921368 -0.31988839 -165946.60682482 479219.88929348 -841324.11842889 -76903.74877657 -262865.42839144 -0.31988839 221517.66239816 456201.60439961 -841324.11842889
0.15 179933.95261235 -327965.27800377 -0.17108411 -226468.33608883 654060.63482101 -1148033.08101841 -104673.95401231 -359138.99012809 -0.17108411 302353.41401666 622628.00636156 -1148033.08101841
0.18 226003.11703599 -410911.84040685 0.16136567 -283674.66097582 819331.06569076 -1437833.79388559 -130750.21219608 -450366.88544697 0.16136567 378766.27615994 779942.82901354 -1437833.79388559
0.21 265374.46679598 -481737.65515577 0.71324273 -332533.55319725 960406.94985520 -1685271.72627428 -152991.87768835 -528288.04773875 0.71324273 443973.53650346 914246.99737913 -1685271.72627428
0.24 294286.21648608 -534469.51971104 1.51646422 -368990.60801041 1065454.58861895 -1869909.12031032 -169835.24243815 -586018.80101223 1.51646422 492474.40354047 1014305.92577709 -1869909.12031032
0.27 309968.57947533 -565010.06944766 2.58330405 -390286.52132230 1126392.95231194 -1977902.82562883 -180341.56704336 -618703.33604689 2.58330405 520505.84902781 1072454.34069321 -1977902.82562883
0.30000000000000004 311028.03096970 -571452.86324958 3.90056964 -395144.65242682 1139488.61738799 -2002904.67575668 -184148.16489447 -624008.22457002 3.90056964 526330.66515933 1085149.59172054 -2002904.67575668
0.33000000000000007 297699.06919343 -554189.99756737 5.40811178 -383821.08882277 1105538.65919707 -1946254.25402082 -181366.47476605 -602376.53592524 5.40811178 510331.38811315 1053136.37745112 -1946254.25402082
0.3600000000000001 271881.02532499 -515802.13447856 6.98843188 -358018.99029381 1029633.15341503 -1816503.14175048 -172478.27035703 -556976.10372354 6.98843188 474902.92908394 981218.24074458 -1816503.14175048
0.3900000000000001 236919.27224700 -460742.37656018 8.48056381 -320679.09782911 920528.06228526 -1628360.33204323 -158266.83484607 -493321.28284535 8.48056381 424157.27045467 877665.99977417 -1628360.33204323
0.42000000000000015 197159.38088652 -394847.66470924 9.68141020 -275669.98950811 789695.37023921 -1401150.90144686 -139786.72605217 -418612.19645098 9.68141020 363470.83241696 753327.07031857 -1401150.90144686
0.4500000000000002 157346.62498365 -324730.54738438 10.40889554 -227404.57175464 650149.89070126 -1156949.89337595 -118358.30659116 -340880.03763667 10.40889554 298926.08174202 620524.71126308 -1156949.89337595
0.4800000000000002 121989.84517201 -257117.52932174 10.54151366 -180420.22249310 515171.99707474 -918527.34211694 -95549.70178831 -268069.39530236 10.54151366 236705.24982091 491857.97539702 -918527.34211694
0.5100000000000002 94801.14863436 -198203.80140955 10.05260132 -138959.95046285 397054.08678929 -707284.59709802 -73116.71697001 -207185.78709727 10.05260132 182500.11398091 379019.16055217 -707284.59709802
0.5400000000000003 78295.37679866 -153089.30199427 9.02218251 -106593.44460966 305992.20208583 -541362.98201669 -52887.29169737 -163613.67543715 9.02218251 140996.21357157 291742.10859862 -541362.98201669
0.5700000000000003 73588.29782451 -125348.02704742 7.62545464 -85913.14234213 249224.52158521 -434098.81152363 -36599.65552590 -140669.22434127 7.62545464 115478.58370772 236978.11479404 -434098.81152363
0.6000000000000003 80388.16876680 -116765.43629908 6.10073472 -78332.85443997 230488.74563025 -392970.36743760 -25722.61255311 -139408.65107746 6.10073472 107590.46245813 218369.84758653 -392970.36743760
0.6300000000000003 97148.02789624 -127258.20649435 4.71180016 -84004.91078298 249833.62558444 -419127.40424068 -21291.11146946 -158679.17007813 4.71180016 117258.60875156 236059.49288679 -419127.40424068
0.6600000000000004 121335.03940477 -154972.45376928 3.71060072 -101858.55336590 303782.94568217 -507528.93382324 -23785.24379873 -195378.90211602 3.71060072 142782.10709381 286831.85470757 -507528.93382324
0.6900000000000004 149774.48888031 -196540.09675428 3.31089149 -129749.69962643 385816.45423043 -647647.18810996 -33068.27845400 -244881.39192603 3.31089149 181066.53861692 364560.32354245 -647647.18810996
0.7200000000000004 179034.21870600 -247461.18473228 3.66558674 -164701.47528720 487105.78810128 -824640.03899454 -48385.17169320 -301577.79191610 3.66558674 227974.27587462 460897.33596864 -824640.03899454
0.7500000000000004 205818.80845104 -302571.06761263 4.85028014 -203208.26977235 597425.22436351 -1020856.08033382 -68414.17854828 -359485.92885121 4.85028014 278753.48185012 566133.37294855 -1020856.08033382
0.7800000000000005 227339.07468580 -356547.02472318 6.84894948 -241573.14421344 706148.06589465 -1217522.45820377 -91363.81765465 -412869.82033265 6.84894948 328504.07748999 670140.09434176 -1217522.45820377
0.8100000000000005 241616.40120594 -404407.68363288 9.54363915 -276248.59165792 803237.87625419 -1396466.59490605 -115110.81972214 -456808.01119936 9.54363915 372637.69675067 763312.20165976 -1396466.59490605
0.8400000000000005 247679.46502801 -441960.79385315 12.71456873 -304152.70292908 880148.61782131 -1541733.50177674 -137377.64507019 -487649.30363412 12.71456873 407290.61735604 837427.49487079 -1541733.50177674
0.8700000000000006 245620.11337606 -466160.75195020 16.05799546 -322935.78345365 930558.06267732 -1640974.03301856 -155945.78106299 -503305.07659103 16.05799546 429653.83403908 886353.99877482 -1640974.03301856
0.9000000000000006 236498.23237094 -475345.62267211 19.23075438 -331175.89677399 950873.48121226 -1686491.94672628 -168890.60935067 -503349.61704692 19.23075438 438192.36424123 906545.80899007 -1686491.94672628
0.9300000000000006 222114.42288422 -469335.66685679 21.91331342 -328486.51939194 940468.67339910 -1675858.03879529 -174811.81806638 -488929.04730791 21.91331342 432736.73106361 897286.82184443 -1675858.03879529
0.9600000000000006 204695.74494556 -449388.50920310 23.88182555 -315526.05052275 901635.34030465 -1612027.40895978 -173023.91291379 -462507.41157586 23.88182555 414441.85332121 860663.07325250 -1612027.40895978
0.9900000000000007 186557.12589339 -418019.60276858 25.05747776 -293907.04158126 839258.46067807 -1502937.43803739 -163668.68698868 -427500.30458446 25.05747776 385621.68657307 801269.01085424 -1502937.43803739
1.0200000000000007 169796.49688625 -378710.11539215 25.52331615 -266013.85670301 760252.82803694 -1360618.69374251 -147724.23632774 -387852.74506772 25.52331615 349479.72815689 725680.13208546 -1360618.69374251
1.0500000000000007 156068.02483891 -335534.45734384 25.49473751 -234747.45712922 672822.11516174 -1199908.22312965 -126901.93141959 -347615.44879956 25.49473751 309765.56136077 641748.59896551 -1199908.22312965
1.0800000000000007 146453.82476765 -292746.88122044 25.24941383 -203224.78563838 585619.72858487 -1036904.53696823 -103444.81225827 -310561.79750609 25.24941383 270394.05724891 557797.30530907 -1036904.53696823
1.1100000000000008 141432.93041796 -254369.15673016 25.04890993 -174465.71246109 506898.99842607 -887335.81876245 -79857.97146697 -279874.33983023 25.04890993 235065.83079796 481797.60752952 -887335.81876245
1.1400000000000008 140930.28617428 -223819.47032438 25.07799093 -151100.97573175 443738.35469784 -765020.04638784 -58611.50419955 -257917.02625634 25.07799093 206925.87509558 420614.92426323 -765020.04638784
1.1700000000000008 144420.83980660 -203616.43293936 25.40869768 -135131.58890127 401415.82164527 -680574.80497060 -41857.60532053 -246099.51566435 25.40869768 188291.38669634 379396.31242555 -680574.80497060
1.2000000000000008 151062.87135455 -195183.13035275 26.00043071 -127760.01734736 382987.18847232 -640503.60397039 -31197.73432534 -244832.89576596 26.00043071 180472.86344552 361152.81270717 -640503.60397039
1.2300000000000009 159838.29099072 -198764.74941300 26.73591000 -129306.91634533 389098.33757354 -646734.16970874 -27525.16271797 -253570.64162358 26.73591000 183700.27564456 366567.87044877 -646734.16970874
1.260000000000001 169683.93175496 -213461.39763965 27.43712125 -139219.89584988 418037.22123117 -696628.85353092 -30955.34299023 -270924.66059488 27.43712125 197153.62148940 394040.28635248 -696628.85353092
1.290000000000001 179600.06814892 -237367.11326798 27.94468077 -156166.55929540 466007.34645091 -783443.44747152 -40847.46933280 -294840.32151213 27.94468077 219090.52168584 439943.38783053 -783443.44747152
1.320000000000001 188730.85003103 -267795.74286880 28.17700340 -178197.06751685 527584.52325483 -897165.29319987 -55907.32187937 -322813.04963146 28.17700340 247054.23921384 499062.94887129 -897165.29319987
1.350000000000001 196413.51284167 -301569.32194915 28.12543622 -202960.47767899 596304.88359418 -1025629.41401076 -74356.38570105 -352127.03939509 28.12543622 278136.49676442 565165.95692378 -1025629.41401076
1.380000000000001 202198.85617830 -335338.87158382 27.87992135 -227949.05685906 665322.75364115 -1155791.37052895 -94144.20774052 -380096.57244420 27.87992135 309269.90690725 631638.55464748 -1155791.37052895
1.410000000000001 205848.35436173 -365907.00791109 27.60337805 -250746.98755409 728074.23639184 -1275028.13812650 -113178.55931234 -404292.09384288 27.60337805 337521.33449829 692131.12502148 -1275028.13812650
1.440000000000001 207315.34863647 -390522.91895880 27.47957058 -269259.38022575 778885.11900055 -1372341.13256680 -129547.31533963 -422735.49306944 27.47957058 360359.81575486 741150.08306630 -1372341.13256680
1.470000000000001 206717.72789193 -407123.50333862 27.65781695 -281900.11347360 813469.42242214 -1439349.81831047 -141708.28280731 -434051.29717502 27.65781695 375876.26302816 774543.22673704 -1439349.81831047
1.500000000000001 204307.68413756 -414500.11286178 28.19709886 -287722.10968652 829276.56972921 -1470987.40824981 -148628.49170496 -437563.18950934 28.19709886 382936.83107800 789837.34079128 -1470987.40824981
1.5300000000000011 200441.62446670 -412377.75955956 29.03384849 -286479.71336752 825660.41890266 -1465843.19986031 -149861.47830263 -433328.74208754 29.03384849 381258.33316885 786401.82915795 -1465843.19986031
1.5600000000000012 195550.32505826 -401402.17855377 29.99784535 -278620.54572712 803860.44583741 -1426132.76806307 -145559.24152650 -422109.16335035 29.99784535 371400.69511773 765429.64964082 -1426132.76806307
