# Level force for level 45
# start: 0.0, 0.0, 206.0183537037037
# center: 0.0, 0.0, 208.33316666666667
# end: 0.0, 0.0, 210.64797962962962
# as part of FluidModelPart.Drag_structure
# Time Fx Fy Fz Mx My Mz Fx' Fy' Fz' Mx' My' Mz'
0.7500000000000004 21451.23573573 124292.05023875 5.82296389 46528.61203696 63703.87862898 1356966.15770758 103056.06582497 72719.43731783 5.82296389 77946.14165697 12144.74747590 1356966.15770758
0.7800000000000005 15772.83011197 146994.75569072 -1.17660173 56248.97095348 72603.93309191 1604763.31589661 115094.06367844 92787.91341709 -1.17660173 91112.76222607 11564.70463414 1604763.31589661
0.8100000000000005 7689.74111831 167301.26126755 -10.70635409 65328.66635926 79789.26574299 1826376.89966155 123737.32443368 112862.38825302 -10.70635409 102613.87386127 10225.18788426 1826376.89966155
0.8400000000000005 -1941.74224105 183423.60617391 -21.93990913 72945.73167732 84687.93679901 2002292.07649209 128327.05664930 131073.09486122 -21.93990913 111463.83592293 8302.99286763 2002292.07649209
0.8700000000000006 -12002.51501646 194033.78542160 -33.79579514 78427.06029135 87005.84862204 2118019.61160565 128715.54569148 145689.66521034 -33.79579514 116978.73172408 6066.11940299 2118019.61160565
0.9000000000000006 -21246.00812555 198370.25452192 -45.07080512 81309.48680879 86734.61620543 2165257.52294830 125245.75573943 155292.14857688 -45.07080512 118825.12477976 3836.14578518 2165257.52294830
0.9300000000000006 -28468.05200920 196289.10881318 -54.60410971 81383.24703734 84125.64489721 2142446.77324593 118667.40729198 158927.31253774 -54.60410971 117032.45983359 1939.16812343 2142446.77324593
0.9600000000000006 -32685.11693301 188255.91832260 -61.43420194 78712.15076016 79636.31216581 2054680.54064996 110005.16861720 156228.90427162 -61.43420194 111969.27192542 653.48079685 2054680.54064996
0.9900000000000007 -33285.62281906 175280.10920784 -64.95835479 73626.57830853 73861.06052375 1912985.51976488 100405.26421661 147478.24343936 -64.95835479 104289.50955950 165.80396445 1912985.51976488
1.0200000000000007 -30126.06400901 158799.07669317 -65.00475248 66687.94573181 67456.62360065 1733055.39189643 90985.55982468 133590.24812713 -65.00475248 94854.53463433 543.53733360 1733055.39189643
1.0500000000000007 -23552.94042491 140524.51654304 -61.85514412 58628.00962024 61072.89095048 1533572.82054783 82711.39467921 116020.28246188 -61.85514412 84641.31850769 1728.79216781 1533572.82054783
1.0800000000000007 -14348.60956474 122267.32579282 -56.19279743 50269.81840588 55295.25279328 1334298.53949556 76310.05606182 96602.05430948 -56.19279743 74645.77770136 3553.51873374 1334298.53949556
1.1100000000000008 -3613.91270138 105759.40035723 -48.99615270 42440.14522698 50601.68901796 1154127.30605047 72227.76698906 77338.61134458 -48.99615270 65790.51192863 5771.08295956 1154127.30605047
1.1400000000000008 7389.02776333 92490.36505516 -41.39161956 35884.14473054 47335.00838049 1009308.89291717 70625.39596275 60175.73268709 -41.39161956 58844.82748942 8096.98333732 1009308.89291717
1.1700000000000008 17406.08076227 83574.99064480 -34.49162582 31191.83275924 45689.04999915 912003.43312666 71404.40036342 46788.48488166 -34.49162582 54362.99354206 10251.08061867 912003.43312666
1.2000000000000008 25347.65315772 79663.14494685 -29.28888747 28743.92999433 45707.16511674 869301.20886308 74253.84743755 38406.85256758 -29.28888747 52644.87421980 11994.81858592 869301.20886308
1.2300000000000009 30411.73172270 80898.89045627 -26.57144386 28681.41269321 47291.14567052 882770.63622663 78708.49576084 35699.81230335 -26.57144386 53720.71120308 13159.06838433 882770.63622663
1.260000000000001 32162.61560414 86930.10182627 -26.82728264 30904.56319124 50219.80052749 948563.01555754 84211.26808498 38726.46089620 -26.82728264 57363.58770496 13657.93530069 948563.01555754
1.290000000000001 30558.72489854 96964.85470013 -30.20886384 35094.01709746 54174.03167455 1058031.73734132 90172.78789541 46956.22469506 -30.20886384 63122.04262998 13491.60769260 1058031.73734132
1.320000000000001 25933.14988365 109866.84597646 -36.54590879 40752.40818524 58767.59266145 1198772.64536676 96025.09795778 59350.08567728 -36.54590879 70371.26746239 12738.65910746 1198772.64536676
1.350000000000001 18932.79975684 124278.93419815 -45.39059596 47262.39308651 63580.68671169 1355973.53675063 101265.98822505 74490.96603524 -45.39059596 78377.89337291 11538.77607976 1355973.53675063
1.380000000000001 10427.36878623 138761.83260035 -56.06947847 53952.05036203 68194.78342680 1513928.54872151 105492.69598026 90746.16962290 -56.06947847 86370.85447255 10071.13313273 1513928.54872151
1.410000000000001 1400.66875333 151934.36632557 -67.80328901 60163.91829439 72225.86908655 1657568.11068917 108424.24309777 106443.39835042 -67.80328901 93613.71641691 8529.08719948 1657568.11068917
1.440000000000001 -7162.09966492 162602.19150085 -79.78190050 65318.43234714 75354.69993895 1773863.32658094 109912.74300544 120041.48148665 -79.78190050 99470.92577024 7096.71287198 1773863.32658094
1.470000000000001 -14378.30721424 169863.48753207 -91.24176216 68965.71078771 77351.91537156 1852978.12392424 109944.62537675 130278.62244310 -91.24176216 103462.18566434 5929.94212966 1852978.12392424
1.500000000000001 -19553.40349406 173182.37333692 -101.52937746 70822.41367461 78095.77476317 1889070.30682988 108632.08636259 136284.77477445 -101.52937746 105301.06088637 5143.04294774 1889070.30682988
1.5300000000000011 -22239.93610600 172424.49158725 -110.14444437 70790.71391308 77581.22746021 1880678.64480614 106196.51761028 137648.53687770 -110.14444437 104914.80588287 4801.61817692 1880678.64480614
1.5600000000000012 -22267.81179107 167852.56781703 -116.76867361 68958.66163764 75918.44957798 1830674.49312307 102943.96822335 134435.40966265 -116.76867361 102443.58777928 4921.31324823 1830674.49312307
1.5900000000000012 -19744.14974538 160083.72671812 -121.26562172 65582.12224670 73320.94479841 1745795.01087451 99235.06654628 127157.51089372 -121.26562172 98219.30063521 5472.17390471 1745795.01087451
1.6200000000000012 -15026.36269779 150014.50061769 -123.68987443 61052.57960524 70083.64533321 1635823.26500040 95451.02770290 116701.51362325 -123.68987443 92727.31391318 6385.92781759 1635823.26500040
1.6500000000000012 -8672.82518120 138721.72805272 -124.30010561 55853.22457870 66552.86625277 1512506.93293915 91958.46110633 104223.68810167 -124.30010561 86554.17688547 7565.78918400 1512506.93293915
1.6800000000000013 -1377.52517584 127350.27334532 -123.52634837 50508.81821068 63091.32675344 1388332.88422734 89076.18447535 91024.29926153 -123.52634837 80327.43284790 8897.17711492 1388332.88422734
1.7100000000000013 6104.34616272 116999.15710806 -121.92330383 45533.69389013 60042.01191852 1275285.54270739 87047.32195059 78414.47281785 -121.92330383 74653.29750585 10258.93006148 1275285.54270739
1.7400000000000013 13032.68349901 108617.37390738 -120.13970276 41383.62186802 57694.74140500 1183710.93498461 86019.58052379 67588.58276537 -120.13970276 70058.98253922 11533.70323335 1183710.93498461
1.7700000000000014 18753.72125449 102919.12226037 -118.85474943 38414.94367847 56259.10684068 1121394.13768804 86035.69273561 59513.92579254 -118.85474943 66944.66312449 12617.72877660 1121394.13768804
1.8000000000000014 22760.81503250 100325.94441150 -118.70032421 36854.80139516 55846.86448879 1092928.64883546 87035.48227713 54846.82896751 -118.70032421 65549.97657382 13429.41660223 1092928.64883546
1.8300000000000014 24739.11345687 100939.85757795 -120.19835444 36784.90575260 56465.05830768 1099424.86772396 88868.45267127 53882.06289948 -120.19835444 65937.68193243 13915.96932649 1099424.86772396
1.8600000000000014 24591.58989898 104548.68606698 -123.70610100 38139.55650661 58020.61732630 1138568.78332826 91315.96485984 56538.20490437 -123.70610100 67995.51099733 14058.03292279 1138568.78332826
1.8900000000000015 22442.61687072 110661.34840688 -129.37245369 40717.73063152 60334.72782448 1205007.27034994 94118.71645061 62380.06329689 -129.37245369 71454.87862981 13871.31174166 1205007.27034994
1.9200000000000015 18619.43171065 118568.26423634 -137.12840316 44207.62671389 63164.99574223 1291006.78984476 97006.35009947 70674.49725060 -137.12840316 75923.90945250 13404.88419340 1291006.78984476
