# Level force for level 43
# start: 0.0, 0.0, 196.75910185185185
# center: 0.0, 0.0, 199.07391481481483
# end: 0.0, 0.0, 201.38872777777777
# as part of FluidModelPart.Drag_structure
# Time Fx Fy Fz Mx My Mz Fx' Fy' Fz' Mx' My' Mz'
0.03 22531.32983833 8078.81814859 -1.34507610 35517.99402546 -70063.06383702 311734.33514534 21644.64321467 -10219.46902099 -1.34507610 -24427.05312032 -74657.08197942 311734.33514534
0.06 64378.08312277 23102.74859416 -3.76744832 101571.40470900 -200409.68336756 891474.18667955 61858.28933088 -29186.06894093 -3.76744832 -69889.21708028 -213532.87516903 891474.18667955
0.09 120941.52811144 43389.27779326 -7.12901960 190767.06634347 -376453.36882376 1674392.45500068 116199.42721306 -54837.72209626 -7.12901960 -131300.04365727 -401085.41613433 1674392.45500068
0.12 186594.39318890 66864.09341836 -11.23893685 293989.53243613 -580209.24338641 2580577.40212671 179222.21462927 -84662.10688125 -11.23893685 -202387.89852219 -618151.88248910 2580577.40212671
0.15 255127.31040408 91257.81700097 -15.89744541 401266.07011981 -791993.70028013 3522546.37214047 244931.27249027 -115873.23001494 -15.89744541 -276286.15688331 -843762.07536690 3522546.37214047
0.18 320227.21229494 114315.32349442 -20.93416387 502686.13142227 -992232.54814637 4413243.68485050 307267.97377066 -145601.69289778 -20.93416387 -346161.59097118 -1057067.13564543 4413243.68485050
0.21 375982.71382563 133996.57341419 -26.21067819 589282.32782169 -1163198.45749123 5173747.45033969 360609.81227195 -171110.04083809 -26.21067819 -405819.98712167 -1239191.04719389 5173747.45033969
0.24 417401.81343431 148651.32154754 -31.57957517 653795.84405783 -1290527.87244782 5740032.41281860 400260.01025757 -190035.29526035 -31.57957517 -450237.53507323 -1374844.48476298 5740032.41281860
0.27 440901.52370367 157153.14873108 -36.84892491 691264.52226786 -1364392.75045818 6068234.52665084 422888.51439891 -200640.40009378 -36.84892491 -475973.53476146 -1453569.19734002 6068234.52665084
0.30000000000000004 444702.07656054 158982.24064977 -41.73568817 699387.18542008 -1380232.77909250 6137975.79069860 426869.27439538 -202034.43349201 -41.73568817 -481430.53622675 -1470513.37919777 6137975.79069860
0.33000000000000007 429052.62521256 154250.52802505 -45.89017349 678638.27994968 -1338989.47177260 5953467.62913897 412457.61514181 -194314.42640557 -45.89017349 -466938.80570261 -1426678.26515300 5953467.62913897
0.3600000000000001 396225.97893783 143668.13955913 -48.94458541 632126.22936182 -1246827.90713955 5542301.50875107 381762.79231193 -178585.36086650 -48.94458541 -434659.72476338 -1328621.21145863 5542301.50875107
0.3900000000000001 350255.85577775 128455.89969228 -50.52120302 565212.05965841 -1114381.08569209 4952065.48388999 338500.32852657 -156836.25301492 -50.52120302 -388321.14232603 -1187651.70271178 4952065.48388999
0.42000000000000015 296447.83373850 110212.68528206 -50.36097978 484930.07456756 -955594.18585316 4245143.34817408 287552.41064028 -131688.13636883 -50.36097978 -332809.78475119 -1018604.47300723 4245143.34817408
0.4500000000000002 240727.64235615 90752.16789793 -48.33874456 399267.74584964 -786293.91765149 3492257.89912430 234391.62165709 -106048.67500108 -48.33874456 -273668.83057775 -838318.69177645 3492257.89912430
0.4800000000000002 188936.13482841 71924.97652571 -44.52929147 316381.07969406 -622627.44877386 2765439.55035557 184456.66078636 -82739.38351033 -44.52929147 -216548.88429009 -663979.29807167 2765439.55035557
0.5100000000000002 146175.49695685 55444.24046617 -39.23279009 243823.56467391 -479530.51256210 2131151.84448655 142566.68355287 -64156.68673013 -39.23279009 -166669.98122452 -511488.57321252 2131151.84448655
0.5400000000000003 116293.97695435 42731.34513546 -32.95743332 187864.07553835 -369374.85395266 1644257.70527003 112447.88363008 -52016.63580107 -32.95743332 -128347.50227521 -394027.42578423 1644257.70527003
0.5700000000000003 101560.81604392 34795.99224669 -26.36706502 152956.57455591 -300920.41446131 1343384.42502576 96418.82380325 -47209.85965175 -26.36706502 -104626.23456751 -320939.49675861 1343384.42502576
0.6000000000000003 102545.37997929 32160.62208479 -20.19499748 141405.84345271 -278659.21991896 1248063.55502850 95251.52752604 -49769.53959937 -20.19499748 -97052.79324003 -297030.85484966 1248063.55502850
