# Level force for level 26
# start: 0.0, 0.0, 118.0554611111111
# center: 0.0, 0.0, 120.37027407407408
# end: 0.0, 0.0, 122.68508703703704
# as part of FluidModelPart.Drag_structure
# Time Fx Fy Fz Mx My Mz Fx' Fy' Fz' Mx' My' Mz'
0.03 23434.01111581 15464.03631544 -0.93214643 95121.98767078 14441.81294622 221767.55534256 27505.07311355 -5635.62322722 -0.93214643 77473.30638885 -57049.49865506 221767.55534256
0.06 66951.67606025 44225.20442691 -2.53824698 272018.87131429 41289.71278236 634180.63671162 78613.92610364 -16070.04220438 -2.53824698 221542.62441869 -163150.15261539 634180.63671162
0.09 125791.29322176 83067.93855680 -4.62060655 510892.31762722 77544.14239386 1191072.02595446 147685.77910403 -30209.97379863 -4.62060655 416087.41117831 -306423.43332232 1191072.02595446
0.12 194127.88133098 128028.28516353 -6.93182596 787333.99858524 119506.99501580 1835516.74388765 227798.80992933 -46739.47268370 -6.93182596 641233.41603325 -472225.00288344 1835516.74388765
0.15 265515.90010218 174766.15585968 -9.17562352 1074635.37334716 163126.74634466 2505210.55787739 311326.42740539 -64169.75954481 -9.17562352 875229.98832992 -644533.93126351 2505210.55787739
0.18 333365.03023625 218961.51382589 -11.03597576 1346245.23280733 204366.17432782 3138197.60162154 390553.84473567 -80895.50224535 -11.03597576 1096447.84097048 -807430.42554577 3138197.60162154
0.21 391456.87551899 256696.53144626 -12.24187967 1578129.59995115 239558.58829687 3678383.14214677 458313.66931429 -95289.95312886 -12.24187967 1285299.64399286 -946512.63944048 3678383.14214677
0.24 434495.65850684 284791.56319062 -12.64813707 1750828.63782280 265723.36924023 4080356.64664066 508612.87208311 -105856.78096950 -12.64813707 1425917.59880961 -1050128.00619061 4080356.64664066
0.27 458650.48974771 301067.37216687 -12.28348540 1851041.30606201 280815.05853131 4313118.07023472 537201.65194835 -111428.09104193 -12.28348540 1507450.09191964 -1110317.62762607 4313118.07023472
0.30000000000000004 462008.77124496 304511.40113309 -11.33912822 1872610.00487253 283883.56284300 4362395.97493785 542011.61180480 -111367.45842515 -11.33912822 1524871.22531682 -1123399.24060945 4362395.97493785
0.33000000000000007 444848.85738893 295333.52849511 -10.09961391 1816828.95565313 275130.60897408 4231355.88790135 523387.98437344 -105723.30295216 -10.09961391 1479238.79411596 -1090145.35548085 4231355.88790135
0.3600000000000001 409651.00428320 274906.41673859 -8.85295952 1692059.58456743 255855.83921817 3939665.06311337 484055.19451608 -95278.81158097 -8.85295952 1377384.20533666 -1015549.40750198 3939665.06311337
0.3900000000000001 360809.59649648 245596.93752668 -7.82653695 1512701.17657668 228297.19787827 3521050.13845007 428794.17236361 -81467.65243608 -7.82653695 1231071.75661185 -908210.76312063 3521050.13845007
0.42000000000000015 304082.29493397 210506.95505134 -7.11874283 1297627.68941484 195384.80368338 3019601.71793237 363869.54819031 -66167.75738285 -7.11874283 1055719.25826598 -779403.41901534 3019601.71793237
0.4500000000000002 245854.27098497 173151.20928641 -6.72325105 1068253.60068528 160432.83245111 2485256.60002832 296281.61645421 -51408.82794007 -6.72325105 868812.50882265 -641926.22132036 2485256.60002832
0.4800000000000002 192349.50339731 137107.03818232 -6.55065438 846427.67582058 126805.33349396 1968890.52736318 232960.95465722 -39062.32176299 -6.55065438 688179.66056090 -508849.83815250 1968890.52736318
0.5100000000000002 148913.33130191 105672.44696487 -6.48025456 652366.40342081 97591.19243940 1517521.89611810 180019.33020610 -30575.92253922 -6.48025456 530300.10163512 -392285.31371915 1517521.89611810
0.5400000000000003 119465.30414872 81566.61722539 -6.41476440 502828.45739743 75321.53106110 1170084.05038039 142151.03483860 -26798.41852155 -6.41476440 408813.77738195 -302293.04661664 1170084.05038039
0.5700000000000003 106175.60478862 66700.40807450 -6.33343730 409698.19565706 61755.93586224 954148.93737911 122241.80100000 -27913.17928523 -6.33343730 333368.41341571 -246032.33136229 954148.93737911
0.6000000000000003 109372.04081806 62035.40802232 -6.29394398 379096.19201563 57754.10988501 883870.90133101 121203.36942092 -33472.05404840 -6.29394398 308899.81083733 -227223.16535517 883870.90133101
0.6300000000000003 127651.76616715 67539.54672146 -6.42704209 411073.85057724 63239.82398869 959281.93707932 138021.10097224 -42505.75800222 -6.42704209 335390.41569508 -245955.79892818 959281.93707932
0.6600000000000004 158156.80712633 82237.70657774 -6.88662845 499888.10653283 77254.12128294 1166931.12719116 169984.59080018 -53682.91081949 -6.88662845 408101.18299764 -298847.35693009 1166931.12719116
0.6900000000000004 196966.24773958 104346.52657431 -7.82751709 634797.07557996 98087.32358904 1481735.70687432 213060.30597549 -65492.03290757 -7.82751709 518227.52847823 -379511.10516173 1481735.70687432
0.7200000000000004 239564.13772012 131476.56395184 -9.36268723 801274.11433589 123473.20568034 1869810.51491906 262365.39624846 -76429.45637355 -9.36268723 653895.10086757 -479277.61880474 1869810.51491906
