# Global force for model part FluidModelPart.Drag_structure
# Time Fx Fy Fz Mx My Mz Fx' Fy' Fz' Mx' My' Mz'
0.03 637748.86126568 -55.66952672 -4022288.27463439 4010.71643990 76443646.06798232 1227.85968915 450917.18019511 -450995.90879481 -4022288.27463439 54056656.51808661 54050984.50850236 1227.85968915
0.06 1820244.01175302 -161.24979188 -11502651.84259991 11120.51205015 218153793.60820246 3441.89554240 1286992.86330346 -1287220.90494607 -11502651.84259991 154265890.19141126 154250163.41244864 3441.89554240
0.09 3419974.59825066 -318.44438605 -21604437.84385508 21538.74215353 409836408.56225729 6403.35364011 2418062.05572397 -2418512.40409358 -21604437.84385508 289813333.86214733 289782873.48087692 6403.35364011
0.12 5282166.94632971 -532.74881920 -33296228.79330977 36161.37168241 632934096.61001682 9726.98202730 3734679.35680646 -3735432.77741190 -33296228.79330977 447577561.70825863 447526421.80599260 9726.98202730
0.15 7234256.14240389 -812.72036615 -45449056.83926809 56422.71990585 866787220.31889439 12810.20189456 5114816.89505209 -5115966.25521636 -45449056.83926809 612951018.22118616 612871224.44547081 12810.20189456
0.18 9096170.64105039 -1167.87479894 -56939846.82064714 84006.94552231 1089892232.04061699 14838.57795340 6431138.13092680 -6432789.75530664 -56939846.82064714 770729589.91930914 770610786.15762138 14838.57795340
0.21 10693041.50194109 -1604.44696851 -66750966.65294820 120349.68492222 1281430301.83867264 14907.97293912 7559987.64220025 -7562256.67286321 -66750966.65294820 906193156.12636757 906022955.96972752 14907.97293912
0.24 11871032.80581445 -2119.57907383 -74057371.80078250 166010.38657856 1423137228.38225460 12299.60691275 8392589.02794297 -8395586.56541572 -74057371.80078250 1006427371.81821442 1006192597.67802334 12299.60691275
0.27 12515119.51765076 -2695.19256869 -78294186.74717110 220048.14468718 1501375811.26714516 6817.96726368 8847620.08934905 -8851431.66723288 -78294186.74717110 1061788614.79174328 1061477419.72115612 6817.96726368
0.30000000000000004 12565620.76031864 -3295.40316292 -79199167.85548905 279665.00966120 1509046170.49200535 -952.73578520 8882905.44751649 -8887565.85136303 -79199167.85548905 1067254533.30328131 1066859027.25369835 -952.73578520
0.33000000000000007 12029531.91722399 -3866.15651117 -76826549.67689857 340138.17231226 1446886833.51959705 -9699.11676449 8503429.80768290 -8508897.37865526 -76826549.67689857 1023344005.59941864 1022862977.58305550 -9699.11676449
0.3600000000000001 10982919.12072437 -4343.22890910 -71531283.71633986 395685.58659697 1323745160.16414642 -17714.86338428 7763025.46087372 -7769167.71410148 -71531283.71633986 936308971.27644396 935749387.35344315 -17714.86338428
0.3900000000000001 9562394.05586421 -4663.97772057 -63925495.15590819 440277.89053965 1155592716.38063717 -23419.07460153 6758335.75100598 -6764931.61155304 -63925495.15590819 817438769.52453947 816816122.56052399 -23419.07460153
0.42000000000000015 7946845.26111071 -4780.55684912 -54811799.29361515 468804.34468508 963419864.20013332 -25754.45486960 5615887.80900572 -5622648.53733743 -54811799.29361515 681572213.83691692 680909224.37456036 -25754.45486960
