# Body fitted drag for model part FluidModelPart.Drag_structure
# Time Fx Fy Fz
0.06 1820244.01175302 -161.24979188 -11502651.84259991
0.09 3419974.59825066 -318.44438604 -21604437.84385508
0.12 5282166.94632971 -532.74881920 -33296228.79330977
0.15 7234256.14240389 -812.72036617 -45449056.83926809
0.18 9096170.64105041 -1167.87479895 -56939846.82064714
0.21 10693041.50194111 -1604.44696853 -66750966.65294820
0.24 11871032.80581446 -2119.57907385 -74057371.80078250
0.27 12515119.51765078 -2695.19256866 -78294186.74717109
0.30000000000000004 12565620.76031861 -3295.40316290 -79199167.85548906
0.33000000000000007 12029531.91722396 -3866.15651119 -76826549.67689857
0.3600000000000001 10982919.12072438 -4343.22890911 -71531283.71633987
0.3900000000000001 9562394.05586420 -4663.97772057 -63925495.15590820
0.42000000000000015 7946845.26111072 -4780.55684909 -54811799.29361514
0.4500000000000002 6332243.70523732 -4668.93721323 -45100516.31008112
0.4800000000000002 4904786.65791005 -4333.46185823 -35719477.21382757
0.5100000000000002 3817171.07043374 -3805.55135204 -27525699.12141236
0.5400000000000003 3171693.96403614 -3138.29503330 -21227674.08498306
0.5700000000000003 3011896.41672118 -2397.49004996 -17325464.17138116
0.6000000000000003 3322532.65292979 -1653.76741169 -16073509.47918521
0.6300000000000003 4036379.75748043 -977.00346925 -17468422.55746224
0.6600000000000004 5045966.02597662 -426.26087405 -21261421.91868073
0.6900000000000004 6218272.67663942 -47.40816482 -26992773.23880037
0.7200000000000004 7410946.21726637 130.25407399 -34043823.26086318
0.7500000000000004 8488710.83052887 95.90902719 -41701013.88420104
0.7800000000000005 9338587.09085593 -142.41905630 -49225626.61953838
0.8100000000000005 9882284.38245732 -559.14759186 -55922877.90277527
0.8400000000000005 10084039.23100922 -1114.09128238 -61204307.77262060
0.8700000000000006 9952543.19879740 -1756.91194274 -64638139.82172867
0.9000000000000006 9536525.16159326 -2432.55627313 -65983419.46537037
0.9300000000000006 8914820.15609707 -3083.25514081 -65205213.68093690
0.9600000000000006 8182810.03440353 -3659.63773715 -62469915.73331473
0.9900000000000007 7437980.28781205 -4119.10520212 -58121600.18017424
1.0200000000000007 6767031.43260227 -4430.07548264 -52642212.77062651
1.0500000000000007 6236478.13049382 -4572.91348282 -46599977.70449210
1.0800000000000007 5887584.88136320 -4540.21507794 -40591500.74152049
1.1100000000000008 5735540.66738141 -4337.21835682 -35183536.69349679
1.1400000000000008 5772067.52689709 -3981.74966870 -30860194.55319520
1.1700000000000008 5970314.71384071 -3504.21470793 -27980530.14632868
1.2000000000000008 6290895.08410420 -2944.28000242 -26750155.31253474
1.2300000000000009 6688045.22083541 -2351.94049845 -27208884.82050551
1.260000000000001 7115277.62711190 -1777.32718994 -29234739.87102194
1.290000000000001 7529933.48420142 -1272.20659424 -32563053.25892748
1.320000000000001 7896512.56431681 -883.66545080 -36818078.69695315
1.350000000000001 8188673.46633007 -650.29967014 -41553532.22187296
1.380000000000001 8390032.11549737 -598.27348912 -46297889.47172953
1.410000000000001 8493971.94435312 -737.68158631 -50600052.22363630
1.440000000000001 8502738.88858346 -1061.02898291 -54071157.34379785
1.470000000000001 8426092.56658070 -1542.09526375 -56418801.76691588
1.500000000000001 8279691.97155154 -2139.08737563 -57470762.99167296
1.5300000000000011 8083374.83823821 -2795.07089289 -57186337.78373861
1.5600000000000012 7859339.75322483 -3448.76587440 -55654639.20004837
1.5900000000000012 7630323.64374295 -4036.87223232 -53080450.58034938
1.6200000000000012 7417819.55234803 -4502.94531323 -49759458.83681241
1.6500000000000012 7240412.11099318 -4802.40628435 -46045677.78444979
1.6800000000000013 7112360.86932651 -4908.01888494 -42314582.78558245
1.7100000000000013 7042556.13554718 -4813.22221273 -38925779.63498616
1.7400000000000013 7033965.73392984 -4532.57842962 -36188920.92243238
1.7700000000000014 7083645.32337897 -4102.53040239 -34336083.75088891
1.8000000000000014 7183366.30346238 -3576.33804026 -33503008.74158000
1.8300000000000014 7320779.96646211 -3021.84197259 -33720591.29412578
1.8600000000000014 7481036.34493752 -2509.38396326 -34916927.65983360
1.8900000000000015 7648574.35494220 -2107.58756734 -36929177.75403243
1.9200000000000015 7808852.19574799 -1872.21635149 -39523606.12502109
1.9500000000000015 7949741.63868848 -1838.06335117 -42421480.17563850
1.9800000000000015 8062390.16431148 -2012.49903995 -45328071.82191565
2.0100000000000016 8141486.30619027 -2373.23442622 -47961855.47961577
2.0400000000000014 8185000.97843914 -2871.19677484 -50081106.61577854
2.070000000000001 8193599.80951563 -3436.58269301 -51505465.84623118
2.100000000000001 8169951.86164191 -3991.31651025 -52130604.82650983
2.130000000000001 8118173.21182960 -4458.67074484 -51934857.57376188
2.1600000000000006 8043492.18738195 -4779.65105559 -50977499.06665639
2.1900000000000004 7952172.82988938 -4919.80227195 -49389182.75914831
2.22 7851568.93738671 -4873.92250654 -47355806.51228336
2.25 7750120.79283367 -4665.57631706 -45097683.76130705
2.28 7657128.71621819 -4340.77303244 -42846294.27932873
2.3099999999999996 7582182.41105875 -3958.55915752 -40821035.05885519
2.3399999999999994 7534244.48897659 -3579.69091718 -39208281.28892624
2.369999999999999 7520498.35020364 -3257.59870197 -38144723.97538682
2.399999999999999 7545179.94293944 -3029.51278318 -37706422.35498889
2.429999999999999 7608627.32604320 -2915.53044440 -37904364.29802856
2.4599999999999986 7706806.26334974 -2914.58601832 -38686641.72596861
2.4899999999999984 7831438.64479141 -3010.17220797 -39946690.13597353
2.5199999999999982 7970780.66759633 -3175.51635154 -41536477.51658919
2.549999999999998 8110979.35214762 -3379.02226081 -43283105.21319238
2.579999999999998 8237804.42247168 -3589.80926639 -45007028.25264760
2.6099999999999977 8338499.83479460 -3781.16948885 -46540033.69962438
2.6399999999999975 8403470.65652004 -3932.94150341 -47741227.44441672
2.6699999999999973 8427547.37314605 -4032.65323162 -48509552.99593242
2.699999999999997 8410642.51253682 -4074.97193411 -48791771.24749608
2.729999999999997 8357708.18349786 -4059.22761340 -48585324.16813829
2.7599999999999967 8278001.71138921 -3992.67603773 -47936037.59341402
2.7899999999999965 8183802.03216042 -3886.34212305 -46931134.78074984
2.8199999999999963 8088770.95313009 -3753.82406947 -45688482.57965034
2.849999999999996 8006192.97929491 -3610.86615427 -44343326.77984357
