# Dyanimc Analyis: Deformation at t = 200 [s]
# x0 x y z 
0.00000000 0.00000000 0.00000000 0.00000000
4.62962963 4.62963144 0.00259492 -0.32726076
9.25925926 9.25926287 0.00515692 -0.65106091
13.88888889 13.88889427 0.00768541 -0.97143766
18.51851852 18.51852568 0.01018044 -1.28818976
23.14814815 23.14815708 0.01264353 -1.60152054
27.77777778 27.77778850 0.01507208 -1.91195547
32.40740741 32.40741993 0.01746951 -2.21881212
37.03703704 37.03705138 0.01983247 -2.52234385
41.66666667 41.66668284 0.02216062 -2.82272096
46.29629630 46.29631432 0.02445372 -3.11974304
50.92592593 50.92594582 0.02670921 -3.41343396
55.55555556 55.55557733 0.02893099 -3.70343255
60.18518519 60.18520887 0.03111602 -3.99029689
64.81481481 64.81484043 0.03326355 -4.27348872
69.44444444 69.44447202 0.03536849 -4.55300038
74.07407407 74.07410362 0.03742988 -4.82837342
78.70370370 78.70373526 0.03945472 -5.09993001
83.33333333 83.33336692 0.04143398 -5.36743335
87.96296296 87.96299860 0.04337437 -5.63063592
92.59259259 92.59263031 0.04526858 -5.88901338
97.22222222 97.22226204 0.04711326 -6.14248164
101.85185185 101.85189380 0.04891839 -6.39101309
106.48148148 106.48152559 0.05067660 -6.63372365
111.11111111 111.11115740 0.05238860 -6.87059494
115.74074074 115.74078923 0.05405574 -7.10172016
120.37037037 120.37042109 0.05567151 -7.32595391
125.00000000 125.00005298 0.05723566 -7.54354833
129.62962963 129.62968492 0.05874876 -7.75458193
134.25925926 134.25931689 0.06021011 -7.95905480
138.88888889 138.88894890 0.06162223 -8.15694121
143.51851852 143.51858094 0.06297859 -8.34832375
148.14814815 148.14821302 0.06428008 -8.53306697
152.77777778 152.77784513 0.06552695 -8.71130501
157.40740741 157.40747725 0.06672201 -8.88218857
162.03703704 162.03710937 0.06785662 -9.04613863
166.66666667 166.66674151 0.06894358 -9.20316896
171.29629630 171.29637366 0.06996672 -9.35254693
175.92592593 175.92600583 0.07093281 -9.49430934
180.55555556 180.55563800 0.07184045 -9.62842173
185.18518519 185.18527021 0.07269479 -9.75491759
189.81481481 189.81490244 0.07348684 -9.87311144
194.44444444 194.44453467 0.07422338 -9.98353562
199.07407407 199.07416691 0.07490230 -10.08604309
203.70370370 203.70379915 0.07552347 -10.18007223
208.33333333 208.33343140 0.07608020 -10.26560685
212.96296296 212.96306365 0.07658208 -10.34279640
217.59259259 217.59269590 0.07702898 -10.41142425
222.22222222 222.22232816 0.07741802 -10.47127970
226.85185185 226.85196042 0.07774370 -10.52219955
231.48148148 231.48159267 0.07800799 -10.56399418
236.11111111 236.11122493 0.07822086 -10.59722574
240.74074074 240.74085718 0.07837480 -10.62136905
245.37037037 245.37048940 0.07847339 -10.63641880
250.00000000 250.00012154 0.07852503 -10.64295492
