# Body fitted drag for model part FluidModelPart.Drag_structure
# Time Fx Fy Fz
0.06 1275399.60959767 -166.33297490 -8044548.75993217
0.09 3005387.58075533 -374.68177104 -18984067.33861040
0.12 5027091.92485838 -630.30480562 -31709171.35574701
0.15 7155463.90373553 -937.21747906 -44992580.09887658
0.18 9196284.89039673 -1303.61787677 -57606252.81606820
