# Body fitted drag for model part FluidModelPart.Drag_structure
# Time Fx Fy Fz
0.12 1308495.52728803 -81.25100095 -8190344.04033659
0.18 3089295.62576618 -136.43750326 -19335146.47167028
0.24 5205739.25472901 -125.31377754 -32316692.23281574
0.3 7485004.07412694 13.61848895 -45894000.92330378
0.36 9723675.47567991 328.06584547 -58813056.90592044
0.42 11696331.72436541 845.33754387 -69913341.51128969
0.48 13179704.10432024 1569.99897649 -78226793.36099736
0.54 13989340.60486489 2477.56369940 -83062965.80605772
