# Dynamic Analysis result displacement
# for DoF -4 -> z over time 
0.00000000 -0.00000345
0.03000120 -0.00001956
0.06000240 -0.00006334
0.09000360 -0.00015424
0.12000480 -0.00031394
0.15000600 -0.00056376
0.18000720 -0.00092214
0.21000840 -0.00140243
0.24000960 -0.00201144
0.27001080 -0.00274885
0.30001200 -0.00360743
0.33001320 -0.00457425
0.36001440 -0.00563249
0.39001560 -0.00676369
0.42001680 -0.00795013
0.45001800 -0.00917709
0.48001920 -0.01043456
0.51002040 -0.01171840
0.54002160 -0.01303065
0.57002280 -0.01437912
0.60002400 -0.01577627
0.63002520 -0.01723755
0.66002640 -0.01877952
0.69002760 -0.02041782
0.72002880 -0.02216541
0.75003000 -0.02403112
0.78003120 -0.02601870
0.81003240 -0.02812650
0.84003360 -0.03034767
0.87003480 -0.03267096
0.90003600 -0.03508197
0.93003720 -0.03756466
0.96003840 -0.04010312
0.99003960 -0.04268318
1.02004080 -0.04529399
1.05004200 -0.04792912
1.08004320 -0.05058728
1.11004440 -0.05327248
1.14004560 -0.05599369
1.17004680 -0.05876393
1.20004800 -0.06159910
1.23004920 -0.06451639
1.26005040 -0.06753273
1.29005160 -0.07066324
1.32005280 -0.07391988
1.35005400 -0.07731049
1.38005520 -0.08083821
1.41005640 -0.08450138
1.44005760 -0.08829389
1.47005880 -0.09220593
1.50006000 -0.09622509
1.53006120 -0.10033758
1.56006240 -0.10452956
1.59006360 -0.10878844
1.62006480 -0.11310395
1.65006600 -0.11746892
1.68006720 -0.12187979
1.71006840 -0.12633668
1.74006960 -0.13084317
1.77007080 -0.13540576
1.80007200 -0.14003307
1.83007320 -0.14473495
1.86007440 -0.14952145
1.89007560 -0.15440192
1.92007680 -0.15938419
1.95007800 -0.16447394
1.98007920 -0.16967432
2.01008040 -0.17498584
2.04008160 -0.18040649
2.07008280 -0.18593210
2.10008400 -0.19155686
2.13008520 -0.19727401
2.16008640 -0.20307654
2.19008760 -0.20895788
2.22008880 -0.21491258
2.25009000 -0.22093674
2.28009120 -0.22702840
2.31009240 -0.23318766
2.34009360 -0.23941660
2.37009480 -0.24571908
2.40009600 -0.25210033
2.43009720 -0.25856643
2.46009840 -0.26512376
2.49009960 -0.27177845
2.52010080 -0.27853582
2.55010200 -0.28539999
2.58010320 -0.29237357
2.61010440 -0.29945751
2.64010560 -0.30665118
2.67010680 -0.31395248
2.70010800 -0.32135818
2.73010920 -0.32886435
2.76011040 -0.33646676
2.79011160 -0.34416139
2.82011280 -0.35194483
2.85011400 -0.35981465
2.88011520 -0.36776959
2.91011640 -0.37580969
2.94011760 -0.38393623
2.97011880 -0.39215160
3.00012000 -0.40045900
3.03012120 -0.40886211
3.06012240 -0.41736469
3.09012360 -0.42597025
3.12012480 -0.43468165
3.15012601 -0.44350090
3.18012721 -0.45242895
3.21012841 -0.46146567
3.24012961 -0.47060991
3.27013081 -0.47985963
3.30013201 -0.48921219
3.33013321 -0.49866463
3.36013441 -0.50821396
3.39013561 -0.51785752
3.42013681 -0.52759319
3.45013801 -0.53741963
3.48013921 -0.54733637
3.51014041 -0.55734386
3.54014161 -0.56744335
3.57014281 -0.57763682
3.60014401 -0.58792671
3.63014521 -0.59831573
3.66014641 -0.60880658
3.69014761 -0.61940172
3.72014881 -0.63010318
3.75015001 -0.64091243
3.78015121 -0.65183026
3.81015241 -0.66285682
3.84015361 -0.67399167
3.87015481 -0.68523391
3.90015601 -0.69658231
3.93015721 -0.70803554
3.96015841 -0.71959233
3.99015961 -0.73125167
4.02016081 -0.74301292
4.05016201 -0.75487595
4.08016321 -0.76684115
4.11016441 -0.77890944
4.14016561 -0.79108218
4.17016681 -0.80336114
4.20016801 -0.81574827
4.23016921 -0.82824563
4.26017041 -0.84085521
4.29017161 -0.85357882
4.32017281 -0.86641797
4.35017401 -0.87937380
4.38017521 -0.89244709
4.41017641 -0.90563825
4.44017761 -0.91894735
4.47017881 -0.93237427
4.50018001 -0.94591875
4.53018121 -0.95958051
4.56018241 -0.97335937
4.59018361 -0.98725534
4.62018481 -1.00126866
4.65018601 -1.01539987
4.68018721 -1.02964982
4.71018841 -1.04401958
4.74018961 -1.05851048
4.77019081 -1.07312396
4.80019201 -1.08786151
4.83019321 -1.10272460
4.86019441 -1.11771458
4.89019561 -1.13283260
4.92019681 -1.14807963
4.95019801 -1.16345635
4.98019921 -1.17896322
5.01020041 -1.19460052
5.04020161 -1.21036833
5.07020281 -1.22626669
5.10020401 -1.24229558
5.13020521 -1.25845506
5.16020641 -1.27474529
5.19020761 -1.29116660
5.22020881 -1.30771953
5.25021001 -1.32440481
5.28021121 -1.34122339
5.31021241 -1.35817637
5.34021361 -1.37526502
5.37021481 -1.39249068
5.40021601 -1.40985472
5.43021721 -1.42735851
5.46021841 -1.44500336
5.49021961 -1.46279050
5.52022081 -1.48072103
5.55022201 -1.49879596
5.58022321 -1.51701620
5.61022441 -1.53538259
5.64022561 -1.55389592
5.67022681 -1.57255698
5.70022801 -1.59136660
5.73022921 -1.61032567
5.76023041 -1.62943519
5.79023161 -1.64869625
5.82023281 -1.66811010
5.85023401 -1.68767808
5.88023521 -1.70740164
5.91023641 -1.72728232
5.94023761 -1.74732170
5.97023881 -1.76752138
6.00024001 -1.78788297
6.03024121 -1.80840800
6.06024241 -1.82909799
6.09024361 -1.84995434
6.12024481 -1.87097840
6.15024601 -1.89217144
6.18024721 -1.91353468
6.21024841 -1.93506928
6.24024961 -1.95677637
6.27025081 -1.97865710
6.30025201 -2.00071261
6.33025321 -2.02294411
6.36025441 -2.04535281
